Rank,Team,G,W-L,Opp Pass,Opp Int,Int Ret Yds,Int Ret TDs
1,South Dakota St. (MVFC),15,14-1,422,18,230,2
1,Furman (SoCon),13,10-3,508,18,312,3
3,UT Martin (OVC),11,7-4,366,17,215,3
3,Mercer (SoCon),11,7-4,373,17,204,2
5,Stetson (Pioneer),10,4-6,294,16,158,1
5,Texas Southern (SWAC),11,5-6,296,16,230,4
5,Idaho (Big Sky),12,7-5,337,16,160,1
5,Princeton (Ivy League),10,8-2,370,16,181,1
5,Southeastern La. (Southland),13,9-4,398,16,150,3
5,North Dakota St. (MVFC),15,12-3,418,16,183,1
5,Gardner-Webb (Big South),13,7-6,456,16,236,1
12,N.C. A&T (Big South),11,7-4,328,15,123,2
12,Kennesaw St. (ASUN),11,5-6,350,15,309,2
12,Bucknell (Patriot),11,3-8,370,15,62,0
12,Weber St. (Big Sky),13,10-3,446,15,208,1
16,Southern Utah (WAC),11,5-6,343,14,184,1
16,Richmond (CAA),13,9-4,396,14,74,2
16,UIW (Southland),14,12-2,472,14,181,2
19,Sacred Heart (NEC),11,5-6,276,13,81,1
19,Eastern Wash. (Big Sky),11,3-8,281,13,40,1
19,South Carolina St. (MEAC),11,3-8,282,13,172,2
19,LIU (NEC),11,4-7,313,13,162,2
19,Austin Peay (ASUN),11,7-4,336,13,88,0
19,Cal Poly (Big Sky),11,2-9,353,13,175,1
19,UC Davis (Big Sky),11,6-5,364,13,158,2
19,Eastern Ill. (OVC),11,2-9,370,13,65,0
19,Southern U. (SWAC),12,7-5,371,13,489,5
19,Columbia (Ivy League),10,6-4,389,13,213,2
19,Montana St. (Big Sky),14,12-2,428,13,106,0
19,Holy Cross (Patriot),13,12-1,434,13,103,0
31,Duquesne (NEC),11,4-7,288,12,116,1
31,Jackson St. (SWAC),13,12-1,353,12,155,3
31,Bryant (Big South),11,4-7,358,12,61,0
31,Montana (Big Sky),13,8-5,400,12,306,1
31,ETSU (SoCon),11,3-8,421,12,174,1
31,Fordham (Patriot),12,9-3,439,12,92,1
37,The Citadel (SoCon),11,4-7,264,11,117,1
37,Campbell (Big South),11,5-6,293,11,34,0
37,Prairie View (SWAC),11,6-5,304,11,66,0
37,Chattanooga (SoCon),11,7-4,310,11,185,2
37,Hampton (CAA),11,4-7,318,11,120,0
37,Sam Houston (WAC),9,5-4,323,11,70,0
37,Charleston So. (Big South),10,2-8,332,11,88,1
37,SFA (WAC),11,6-5,338,11,128,0
37,Davidson (Pioneer),12,8-4,348,11,58,1
37,Central Ark. (ASUN),11,5-6,349,11,79,0
37,Saint Francis (PA) (NEC),12,9-3,349,11,85,1
37,Morgan St. (MEAC),11,4-7,357,11,221,4
37,N.C. Central (MEAC),12,10-2,368,11,137,1
37,Yale (Ivy League),10,8-2,373,11,127,1
37,Houston Christian (Southland),11,2-9,379,11,174,1
37,Southeast Mo. St. (OVC),12,9-3,429,11,163,1
37,Samford (SoCon),13,11-2,460,11,19,0
54,Ark.-Pine Bluff (SWAC),11,3-8,290,10,171,2
54,Dayton (Pioneer),11,8-3,307,10,202,2
54,Robert Morris (Big South),11,0-11,307,10,199,1
54,Drake (Pioneer),11,3-8,309,10,59,0
54,Youngstown St. (MVFC),11,7-4,320,10,48,0
54,Rhode Island (CAA),11,7-4,333,10,119,2
54,Valparaiso (Pioneer),12,5-7,335,10,215,1
54,Monmouth (CAA),11,5-6,339,10,70,0
54,UNI (MVFC),11,6-5,341,10,144,2
54,Alabama St. (SWAC),11,6-5,342,10,99,0
54,Florida A&M (SWAC),11,9-2,352,10,115,0
54,Eastern Ky. (ASUN),12,7-5,361,10,120,1
54,New Hampshire (CAA),13,9-4,393,10,121,1
54,William & Mary (CAA),13,11-2,397,10,68,1
54,Sacramento St. (Big Sky),13,12-1,493,10,300,2
69,Illinois St. (MVFC),11,6-5,270,9,97,3
69,Bethune-Cookman (SWAC),11,2-9,279,9,146,2
69,Wagner (NEC),11,1-10,297,9,162,2
69,McNeese (Southland),11,4-7,308,9,75,0
69,Delaware St. (MEAC),11,5-6,309,9,16,0
69,VMI (SoCon),11,1-10,318,9,90,0
69,Tennessee St. (OVC),11,4-7,329,9,171,2
69,Alabama A&M (SWAC),11,4-7,346,9,62,1
77,Maine (CAA),11,2-9,281,8,69,1
77,UAlbany (CAA),11,3-8,288,8,125,1
77,Alcorn (SWAC),11,5-6,300,8,66,1
77,Morehead St. (Pioneer),11,2-9,300,8,60,1
77,Delaware (CAA),13,8-5,303,8,7,0
77,Georgetown (Patriot),11,2-9,304,8,129,1
77,Marist (Pioneer),11,4-7,309,8,70,1
77,Butler (Pioneer),11,7-4,318,8,103,1
77,Towson (CAA),11,6-5,324,8,224,2
77,Villanova (CAA),11,6-5,325,8,59,1
77,Jacksonville St. (ASUN),11,9-2,329,8,93,0
77,San Diego (Pioneer),10,5-5,343,8,70,1
77,Penn (Ivy League),10,8-2,357,8,58,1
77,Murray St. (OVC),11,2-9,367,8,49,0
77,Idaho St. (Big Sky),11,1-10,368,8,87,0
77,Lamar University (Southland),11,1-10,370,8,127,1
77,Portland St. (Big Sky),11,4-7,377,8,20,0
77,Elon (CAA),12,8-4,387,8,132,0
95,Howard (MEAC),11,5-6,277,7,54,0
95,North Ala. (ASUN),11,1-10,308,7,65,0
95,Northern Colo. (Big Sky),11,3-8,327,7,50,1
95,Indiana St. (MVFC),11,2-9,332,7,83,0
95,Colgate (Patriot),11,3-8,350,7,97,1
95,Harvard (Ivy League),10,6-4,355,7,44,0
95,Mississippi Val. (SWAC),11,2-9,365,7,125,1
95,Northwestern St. (Southland),11,4-7,366,7,77,1
95,Abilene Christian (WAC),11,7-4,389,7,113,0
95,Lafayette (Patriot),11,4-7,394,7,161,2
105,Norfolk St. (MEAC),11,2-9,286,6,51,0
105,Dartmouth (Ivy League),10,3-7,289,6,95,0
105,Western Caro. (SoCon),11,6-5,301,6,89,0
105,Brown (Ivy League),10,3-7,309,6,52,0
105,North Dakota (MVFC),12,7-5,325,6,128,1
105,South Dakota (MVFC),11,3-8,331,6,38,0
105,Lehigh (Patriot),11,2-9,334,6,97,1
105,Missouri St. (MVFC),11,5-6,347,6,45,0
113,Wofford (SoCon),11,3-8,296,5,23,0
113,Western Ill. (MVFC),11,0-11,305,5,34,0
113,Cornell (Ivy League),10,5-5,307,5,64,2
113,Central Conn. St. (NEC),11,2-9,309,5,41,1
113,Grambling (SWAC),11,3-8,326,5,148,1
113,Nicholls (Southland),11,3-8,353,5,75,1
113,Southern Ill. (MVFC),11,5-6,358,5,43,0
113,Northern Ariz. (Big Sky),11,3-8,359,5,98,0
121,Stony Brook (CAA),11,2-9,347,3,53,1
122,Tennessee Tech (OVC),11,4-7,336,2,2,0
122,Presbyterian (Pioneer),11,1-10,343,2,3,1