Rank,Team,G,W-L,Opp 4th Conv,Opp 4th Att,Pct
1,Morgan St. (MEAC),12,6-6,4,16,0.25
1,Weber St. (Big Sky),12,4-8,4,16,0.25
3,Fordham (Patriot),12,2-10,4,15,0.267
4,Montana (Big Sky),14,9-5,6,20,0.3
5,Alabama St. (SWAC),12,7-5,8,26,0.308
5,Grambling (SWAC),12,5-7,4,13,0.308
7,Howard (MEAC),12,4-8,7,22,0.318
8,Idaho (Big Sky),14,10-4,9,28,0.321
9,Davidson (Pioneer),11,6-5,5,15,0.333
9,Houston Christian (Southland),12,5-7,9,27,0.333
9,Idaho St. (Big Sky),12,5-7,5,15,0.333
9,Indiana St. (MVFC),12,4-8,5,15,0.333
13,South Dakota St. (MVFC),15,12-3,11,32,0.344
14,South Dakota (MVFC),14,11-3,9,26,0.346
15,ETSU (SoCon),12,7-5,8,23,0.348
15,North Dakota St. (MVFC),16,14-2,8,23,0.348
17,UIW (Southland),14,11-3,11,31,0.355
18,Southeast Mo. St. (OVC),13,9-4,10,28,0.357
18,Southern U. (SWAC),13,8-5,5,14,0.357
20,Bucknell (Patriot),12,6-6,8,22,0.364
21,Bethune-Cookman (SWAC),12,2-10,7,19,0.368
21,Bryant (CAA),12,2-10,7,19,0.368
23,Central Conn. St. (NEC),13,7-6,9,24,0.375
23,Southeastern La. (Southland),12,7-5,3,8,0.375
25,LIU (NEC),12,4-8,8,21,0.381
26,Alabama A&M (SWAC),12,6-6,5,13,0.385
27,Austin Peay (ASUN),12,4-8,7,18,0.389
28,Valparaiso (Pioneer),11,4-7,4,10,0.4
29,Harvard (Ivy League),10,8-2,9,22,0.409
29,Northern Ariz. (Big Sky),13,8-5,9,22,0.409
31,Merrimack (FCS Independent),11,5-6,7,17,0.412
31,Richmond (CAA),13,10-3,14,34,0.412
33,Central Ark. (ASUN),12,6-6,8,19,0.421
34,Georgetown (Patriot),11,5-6,6,14,0.429
35,Drake (Pioneer),11,8-3,10,23,0.435
35,Western Caro. (SoCon),12,7-5,10,23,0.435
37,North Ala. (ASUN),12,3-9,4,9,0.444
38,Rhode Island (CAA),14,11-3,12,26,0.462
38,Villanova (CAA),14,10-4,12,26,0.462
40,Wofford (SoCon),12,5-7,7,15,0.467
41,Montana St. (Big Sky),16,15-1,16,34,0.471
42,Tennessee Tech (OVC),12,7-5,10,21,0.476
43,Abilene Christian (ASUN),14,9-5,11,23,0.478
43,Alcorn (SWAC),12,6-6,11,23,0.478
45,McNeese (Southland),12,6-6,13,27,0.481
46,New Hampshire (CAA),13,8-5,18,37,0.486
47,Chattanooga (SoCon),12,7-5,11,22,0.5
47,Columbia (Ivy League),10,7-3,15,30,0.5
47,Florida A&M (SWAC),12,7-5,9,18,0.5
47,Furman (SoCon),11,3-8,7,14,0.5
47,Gardner-Webb (OVC),12,4-8,9,18,0.5
47,Hampton (CAA),12,5-7,11,22,0.5
47,Holy Cross (Patriot),12,6-6,15,30,0.5
47,Lamar University (Southland),12,7-5,12,24,0.5
47,Murray St. (MVFC),12,1-11,9,18,0.5
47,N.C. Central (MEAC),11,8-3,11,22,0.5
47,Nicholls (Southland),12,4-8,8,16,0.5
47,Stetson (Pioneer),11,2-9,12,24,0.5
47,Stony Brook (CAA),12,8-4,10,20,0.5
47,Towson (CAA),12,7-5,12,24,0.5
61,Lehigh (Patriot),13,9-4,18,35,0.514
62,Saint Francis (NEC),11,4-7,14,27,0.519
62,UT Martin (OVC),14,9-5,14,27,0.519
64,The Citadel (SoCon),12,5-7,13,25,0.52
65,Eastern Wash. (Big Sky),12,4-8,12,23,0.522
65,Yale (Ivy League),10,7-3,12,23,0.522
67,Sacramento St. (Big Sky),12,3-9,10,19,0.526
67,VMI (SoCon),12,1-11,10,19,0.526
69,Tarleton St. (ASUN),14,10-4,19,36,0.528
70,Eastern Ill. (OVC),12,3-9,9,17,0.529
70,Marist (Pioneer),11,1-10,9,17,0.529
70,Portland St. (Big Sky),11,3-8,9,17,0.529
73,Charleston So. (OVC),12,1-11,8,15,0.533
73,Delaware (CAA),11,9-2,8,15,0.533
73,Norfolk St. (MEAC),12,4-8,8,15,0.533
76,Morehead St. (Pioneer),12,7-5,15,28,0.536
77,Western Ill. (OVC),12,4-8,14,26,0.538
78,Southern Ill. (MVFC),12,4-8,13,24,0.542
78,Wagner (NEC),12,4-8,13,24,0.542
80,Brown (Ivy League),10,3-7,12,22,0.545
80,Robert Morris (NEC),12,7-5,12,22,0.545
82,Cal Poly (Big Sky),11,3-8,11,20,0.55
83,UC Davis (Big Sky),14,11-3,16,29,0.552
84,Illinois St. (MVFC),14,10-4,20,36,0.556
85,Presbyterian (Pioneer),12,6-6,14,25,0.56
85,San Diego (Pioneer),11,8-3,14,25,0.56
87,Delaware St. (MEAC),12,1-11,9,16,0.563
88,Eastern Ky. (ASUN),13,8-5,13,23,0.565
88,Mercer (SoCon),14,11-3,13,23,0.565
90,Colgate (Patriot),12,2-10,8,14,0.571
90,Duquesne (NEC),11,8-3,12,21,0.571
90,Jackson St. (SWAC),14,12-2,16,28,0.571
90,Tennessee St. (OVC),13,9-4,16,28,0.571
94,Prairie View (SWAC),12,5-7,11,19,0.579
95,Dayton (Pioneer),11,6-5,10,17,0.588
95,UAlbany (CAA),12,4-8,10,17,0.588
97,SFA (Southland),12,7-5,16,27,0.593
98,Lafayette (Patriot),12,6-6,15,25,0.6
98,Mississippi Val. (SWAC),12,1-11,12,20,0.6
98,William & Mary (CAA),12,7-5,12,20,0.6
101,Sacred Heart (FCS Independent),11,5-6,17,28,0.607
102,Elon (CAA),12,6-6,14,23,0.609
103,Texas Southern (SWAC),11,5-6,8,13,0.615
104,Cornell (Ivy League),10,4-6,17,27,0.63
105,Maine (CAA),12,5-7,12,19,0.632
105,Princeton (Ivy League),10,3-7,12,19,0.632
105,Samford (SoCon),11,4-7,12,19,0.632
108,Youngstown St. (MVFC),12,4-8,7,11,0.636
109,South Carolina St. (MEAC),12,9-3,11,17,0.647
109,UNI (MVFC),12,3-9,11,17,0.647
111,Dartmouth (Ivy League),10,8-2,16,24,0.667
111,Missouri St. (MVFC),12,8-4,14,21,0.667
111,Southern Utah (ASUN),12,7-5,14,21,0.667
114,Butler (Pioneer),12,9-3,17,25,0.68
115,North Dakota (MVFC),12,5-7,13,19,0.684
116,N.C. A&T (CAA),12,1-11,11,16,0.688
117,Monmouth (CAA),12,6-6,25,36,0.694
118,Ark.-Pine Bluff (SWAC),12,3-9,10,14,0.714
119,Northwestern St. (Southland),12,0-12,13,18,0.722
120,Penn (Ivy League),10,4-6,21,29,0.724
121,Campbell (CAA),12,3-9,14,18,0.778
121,Utah Tech (ASUN),12,1-11,7,9,0.778
123,Northern Colo. (Big Sky),12,1-11,9,10,0.9