Rank,Team,G,W-L,4th Conv,4th Att,Pct
1,South Dakota St. (MVFC),15,15-0,9,11,0.818
2,N.C. Central (MEAC),12,9-3,10,13,0.769
3,Missouri St. (MVFC),11,4-7,15,20,0.75
4,UT Martin (OVC),11,8-3,17,23,0.739
5,Jackson St. (SWAC),11,7-4,13,18,0.722
6,Illinois St. (MVFC),11,6-5,18,25,0.72
7,Lafayette (Patriot),12,9-3,15,21,0.714
8,Eastern Ky. (ASUN),11,5-6,9,13,0.692
9,Richmond (CAA),13,9-4,11,16,0.688
10,Bethune-Cookman (SWAC),11,3-8,13,19,0.684
11,Penn (Ivy League),10,6-4,10,15,0.667
12,Eastern Wash. (Big Sky),11,4-7,19,29,0.655
13,North Dakota (MVFC),12,7-5,13,20,0.65
13,Youngstown St. (MVFC),13,8-5,13,20,0.65
15,Gardner-Webb (OVC),12,7-5,27,42,0.643
16,North Dakota St. (MVFC),15,11-4,16,25,0.64
17,Southern Ill. (MVFC),13,8-5,21,33,0.636
18,New Hampshire (CAA),11,6-5,19,30,0.633
19,Dartmouth (Ivy League),10,6-4,10,16,0.625
20,Holy Cross (Patriot),11,7-4,18,29,0.621
21,Wagner (NEC),11,4-7,13,21,0.619
22,Butler (Pioneer),11,7-4,16,26,0.615
22,Alcorn (SWAC),11,7-4,8,13,0.615
24,Towson (CAA),11,5-6,14,23,0.609
25,Davidson (Pioneer),11,7-4,21,35,0.6
25,Northern Ariz. (Big Sky),11,5-6,15,25,0.6
25,ETSU (SoCon),11,3-8,9,15,0.6
25,Rhode Island (CAA),11,6-5,9,15,0.6
25,Saint Francis (PA) (NEC),10,4-6,9,15,0.6
25,South Dakota (MVFC),13,10-3,6,10,0.6
31,Central Ark. (ASUN),11,7-4,13,22,0.591
32,Fordham (Patriot),11,6-5,14,24,0.583
33,North Ala. (ASUN),11,3-8,25,43,0.581
33,SFA (ASUN),11,3-8,25,43,0.581
35,Florida A&M (SWAC),13,12-1,12,21,0.571
35,Wofford (SoCon),11,2-9,8,14,0.571
37,Austin Peay (ASUN),12,9-3,13,23,0.565
38,Idaho (Big Sky),13,9-4,18,32,0.563
38,Southern Utah (ASUN),11,6-5,9,16,0.563
40,Mercer (SoCon),13,9-4,10,18,0.556
41,Lamar University (Southland),11,6-5,12,22,0.545
41,Sacred Heart (NEC),11,2-9,12,22,0.545
43,Lehigh (Patriot),11,2-9,13,24,0.542
44,Brown (Ivy League),10,5-5,14,26,0.538
44,Elon (CAA),11,6-5,14,26,0.538
44,Sacramento St. (Big Sky),13,8-5,14,26,0.538
44,Yale (Ivy League),10,7-3,7,13,0.538
48,Monmouth (CAA),11,4-7,23,43,0.535
49,Montana St. (Big Sky),12,8-4,8,15,0.533
50,Cornell (Ivy League),10,3-7,18,34,0.529
50,Duquesne (NEC),12,7-5,9,17,0.529
50,Merrimack (NEC),11,5-6,9,17,0.529
53,Campbell (CAA),11,5-6,10,19,0.526
54,Maine (CAA),11,2-9,11,21,0.524
54,Samford (SoCon),11,6-5,11,21,0.524
56,Colgate (Patriot),11,6-5,12,23,0.522
57,Southeastern La. (Southland),11,3-8,13,25,0.52
58,Dayton (Pioneer),11,4-7,16,32,0.5
58,Howard (MEAC),12,6-6,14,28,0.5
58,Ark.-Pine Bluff (SWAC),11,2-9,11,22,0.5
58,Cal Poly (Big Sky),11,3-8,11,22,0.5
58,Mississippi Val. (SWAC),11,1-10,11,22,0.5
58,McNeese (Southland),10,0-10,8,16,0.5
58,Presbyterian (Pioneer),11,4-7,8,16,0.5
58,Grambling (SWAC),11,5-6,7,14,0.5
58,Portland St. (Big Sky),11,5-6,7,14,0.5
58,Abilene Christian (ASUN),11,5-6,4,8,0.5
58,Chattanooga (SoCon),13,8-5,4,8,0.5
58,UNI (MVFC),11,6-5,4,8,0.5
70,Montana (Big Sky),15,13-2,12,25,0.48
70,Robert Morris (OVC),11,4-7,12,25,0.48
70,UAlbany (CAA),15,11-4,12,25,0.48
73,Northern Colo. (Big Sky),11,0-11,9,19,0.474
74,Marist (Pioneer),11,4-7,16,34,0.471
74,William & Mary (CAA),11,6-5,8,17,0.471
76,Central Conn. St. (NEC),11,3-8,7,15,0.467
76,Kennesaw St. (FCS Independent),9,3-6,7,15,0.467
76,Villanova (CAA),13,10-3,7,15,0.467
79,Eastern Ill. (OVC),11,8-3,13,28,0.464
80,Norfolk St. (MEAC),11,3-8,11,24,0.458
80,Princeton (Ivy League),10,5-5,11,24,0.458
80,UIW (Southland),10,8-2,11,24,0.458
83,Georgetown (Patriot),11,5-6,10,22,0.455
83,Western Caro. (SoCon),11,7-4,10,22,0.455
83,Harvard (Ivy League),10,8-2,5,11,0.455
86,The Citadel (SoCon),11,0-11,13,29,0.448
87,Southern U. (SWAC),11,6-5,12,27,0.444
87,Murray St. (MVFC),11,2-9,8,18,0.444
87,Tennessee St. (OVC),11,6-5,4,9,0.444
90,Delaware (CAA),13,9-4,14,32,0.438
90,Bryant (OVC),11,6-5,7,16,0.438
90,Delaware St. (MEAC),11,1-10,7,16,0.438
90,LIU (NEC),11,4-7,7,16,0.438
94,Houston Christian (Southland),10,5-5,6,14,0.429
94,Nicholls (Southland),11,6-5,6,14,0.429
96,Furman (SoCon),13,10-3,8,19,0.421
97,Idaho St. (Big Sky),11,3-8,12,29,0.414
98,Bucknell (Patriot),11,4-7,7,17,0.412
99,Morehead St. (Pioneer),11,4-7,9,22,0.409
100,Columbia (Ivy League),10,3-7,11,27,0.407
101,Tennessee Tech (OVC),11,4-7,14,35,0.4
101,Alabama A&M (SWAC),11,5-6,10,25,0.4
101,South Carolina St. (MEAC),11,5-6,6,15,0.4
104,Drake (Pioneer),12,8-4,8,21,0.381
104,Stetson (Pioneer),11,3-8,8,21,0.381
106,UC Davis (Big Sky),11,7-4,6,16,0.375
107,Northwestern St. (Southland),6,0-6,7,19,0.368
108,Alabama St. (SWAC),11,7-4,8,22,0.364
108,Valparaiso (Pioneer),11,3-8,8,22,0.364
108,Texas Southern (SWAC),11,3-8,4,11,0.364
111,Charleston So. (OVC),11,4-7,6,17,0.353
112,San Diego (Pioneer),11,4-7,7,20,0.35
113,Weber St. (Big Sky),11,6-5,9,26,0.346
114,Indiana St. (MVFC),11,1-10,8,24,0.333
114,N.C. A&T (CAA),11,1-10,5,15,0.333
114,VMI (SoCon),11,5-6,4,12,0.333
117,Western Ill. (MVFC),11,0-11,10,32,0.313
117,Southeast Mo. St. (OVC),11,4-7,5,16,0.313
119,Morgan St. (MEAC),10,4-6,6,20,0.3
120,Prairie View (SWAC),12,6-6,4,14,0.286
121,Hampton (CAA),11,5-6,3,11,0.273
121,Stony Brook (CAA),10,0-10,3,11,0.273