Rank,Team,G,W-L,Opp Punt Ret,Opp Punt Ret Yds,Opp Punt Ret TDs,Avg
1,Samford (SoCon),11,6-5,15,6,0,0.40
2,Richmond (CAA),13,9-4,10,22,0,2.20
3,Indiana St. (MVFC),11,1-10,8,22,0,2.75
4,Northwestern St. (Southland),6,0-6,10,28,0,2.80
5,Southeast Mo. St. (OVC),11,4-7,6,17,0,2.83
6,South Dakota St. (MVFC),15,15-0,10,29,0,2.90
7,Morgan St. (MEAC),10,4-6,11,32,0,2.91
8,Abilene Christian (ASUN),11,5-6,13,42,0,3.23
9,SFA (ASUN),11,3-8,7,23,0,3.29
10,New Hampshire (CAA),11,6-5,6,20,0,3.33
11,Youngstown St. (MVFC),13,8-5,11,39,0,3.55
12,Colgate (Patriot),11,6-5,22,79,0,3.59
13,Montana (Big Sky),15,13-2,12,46,0,3.83
14,Gardner-Webb (OVC),12,7-5,15,58,0,3.87
15,Missouri St. (MVFC),11,4-7,12,49,0,4.08
16,Campbell (CAA),11,5-6,9,37,0,4.11
17,Tennessee Tech (OVC),11,4-7,19,79,0,4.16
18,Davidson (Pioneer),11,7-4,13,55,1,4.23
19,Stony Brook (CAA),10,0-10,15,64,0,4.27
20,Dayton (Pioneer),11,4-7,10,43,0,4.30
21,North Ala. (ASUN),11,3-8,17,75,0,4.41
22,Northern Ariz. (Big Sky),11,5-6,16,71,0,4.44
23,Central Ark. (ASUN),11,7-4,8,36,0,4.50
23,Eastern Wash. (Big Sky),11,4-7,8,36,0,4.50
25,Merrimack (NEC),11,5-6,24,112,0,4.67
26,Butler (Pioneer),11,7-4,10,47,0,4.70
27,Rhode Island (CAA),11,6-5,10,49,1,4.90
28,Bryant (OVC),11,6-5,3,15,0,5.00
28,LIU (NEC),11,4-7,9,45,0,5.00
28,Wofford (SoCon),11,2-9,12,60,0,5.00
31,Valparaiso (Pioneer),11,3-8,13,66,1,5.08
32,Brown (Ivy League),10,5-5,14,72,0,5.14
32,Fordham (Patriot),11,6-5,14,72,0,5.14
34,Florida A&M (SWAC),13,12-1,16,83,0,5.19
35,N.C. A&T (CAA),11,1-10,13,68,1,5.23
36,Harvard (Ivy League),10,8-2,8,43,0,5.38
37,Portland St. (Big Sky),11,5-6,19,103,0,5.42
38,Prairie View (SWAC),12,6-6,17,93,1,5.47
39,Austin Peay (ASUN),12,9-3,13,72,0,5.54
39,Saint Francis (PA) (NEC),10,4-6,13,72,0,5.54
41,Southeastern La. (Southland),11,3-8,9,50,1,5.56
42,Northern Colo. (Big Sky),11,0-11,20,112,0,5.60
43,Montana St. (Big Sky),12,8-4,7,43,0,6.14
44,Robert Morris (OVC),11,4-7,16,99,0,6.19
45,Princeton (Ivy League),10,5-5,17,106,0,6.24
46,Eastern Ill. (OVC),11,8-3,13,83,0,6.38
47,Kennesaw St. (FCS Independent),9,3-6,9,58,0,6.44
48,Delaware St. (MEAC),11,1-10,25,162,0,6.48
49,William & Mary (CAA),11,6-5,15,100,0,6.67
50,Lamar University (Southland),11,6-5,13,87,1,6.69
50,San Diego (Pioneer),11,4-7,13,87,0,6.69
52,Norfolk St. (MEAC),11,3-8,12,81,0,6.75
53,Monmouth (CAA),11,4-7,6,41,0,6.83
54,Marist (Pioneer),11,4-7,18,129,0,7.17
55,Alabama St. (SWAC),11,7-4,9,66,0,7.33
55,Western Ill. (MVFC),11,0-11,18,132,0,7.33
57,Elon (CAA),11,6-5,14,105,0,7.50
58,Lafayette (Patriot),12,9-3,17,128,0,7.53
59,Dartmouth (Ivy League),10,6-4,17,130,0,7.65
60,Weber St. (Big Sky),11,6-5,18,141,1,7.83
61,Yale (Ivy League),10,7-3,17,136,0,8.00
62,South Dakota (MVFC),13,10-3,16,130,1,8.13
63,Alcorn (SWAC),11,7-4,13,106,0,8.15
64,Mercer (SoCon),13,9-4,17,142,1,8.35
65,Houston Christian (Southland),10,5-5,13,109,0,8.38
66,Columbia (Ivy League),10,3-7,22,187,2,8.50
67,Duquesne (NEC),12,7-5,17,146,1,8.59
68,Furman (SoCon),13,10-3,22,190,2,8.64
69,Tennessee St. (OVC),11,6-5,21,182,0,8.67
70,Hampton (CAA),11,5-6,14,123,1,8.79
71,Southern U. (SWAC),11,6-5,20,176,0,8.80
72,Murray St. (MVFC),11,2-9,19,174,1,9.16
73,Southern Ill. (MVFC),13,8-5,19,175,1,9.21
74,Sacred Heart (NEC),11,2-9,23,214,0,9.30
75,Mississippi Val. (SWAC),11,1-10,23,216,0,9.39
76,Sacramento St. (Big Sky),13,8-5,10,94,0,9.40
77,UT Martin (OVC),11,8-3,17,161,1,9.47
78,North Dakota (MVFC),12,7-5,8,76,0,9.50
79,Western Caro. (SoCon),11,7-4,8,77,0,9.63
80,Delaware (CAA),13,9-4,20,193,0,9.65
81,Cornell (Ivy League),10,3-7,9,88,0,9.78
82,Texas Southern (SWAC),11,3-8,13,133,1,10.23
83,South Carolina St. (MEAC),11,5-6,16,165,0,10.31
84,Ark.-Pine Bluff (SWAC),11,2-9,18,193,0,10.72
85,Towson (CAA),11,5-6,12,136,1,11.33
86,Presbyterian (Pioneer),11,4-7,20,230,2,11.50
87,Lehigh (Patriot),11,2-9,13,151,0,11.62
88,ETSU (SoCon),11,3-8,27,316,1,11.70
89,Nicholls (Southland),11,6-5,28,332,3,11.86
90,The Citadel (SoCon),11,0-11,23,273,0,11.87
91,Grambling (SWAC),11,5-6,21,250,0,11.90
92,Stetson (Pioneer),11,3-8,19,232,1,12.21
93,Bethune-Cookman (SWAC),11,3-8,20,247,1,12.35
94,Charleston So. (OVC),11,4-7,24,298,0,12.42
95,Southern Utah (ASUN),11,6-5,14,175,1,12.50
96,Bucknell (Patriot),11,4-7,27,339,1,12.56
97,Villanova (CAA),13,10-3,19,242,1,12.74
98,Penn (Ivy League),10,6-4,16,206,0,12.88
99,Wagner (NEC),11,4-7,17,219,1,12.88
100,Central Conn. St. (NEC),11,3-8,15,197,1,13.13
101,North Dakota St. (MVFC),15,11-4,14,186,1,13.29
102,Drake (Pioneer),12,8-4,20,273,1,13.65
103,Cal Poly (Big Sky),11,3-8,16,219,2,13.69
104,UC Davis (Big Sky),11,7-4,21,288,1,13.71
105,Idaho St. (Big Sky),11,3-8,12,165,1,13.75
106,UNI (MVFC),11,6-5,11,152,0,13.82
107,UIW (Southland),10,8-2,7,97,0,13.86
108,VMI (SoCon),11,5-6,24,334,1,13.92
109,Eastern Ky. (ASUN),11,5-6,16,229,0,14.31
110,Chattanooga (SoCon),13,8-5,21,303,1,14.43
111,Morehead St. (Pioneer),11,4-7,10,145,2,14.50
112,Maine (CAA),11,2-9,20,295,1,14.75
113,UAlbany (CAA),15,11-4,17,251,1,14.76
114,Georgetown (Patriot),11,5-6,9,133,0,14.78
115,McNeese (Southland),10,0-10,9,138,0,15.33
116,Howard (MEAC),12,6-6,14,239,1,17.07
117,Jackson St. (SWAC),11,7-4,16,278,0,17.38
118,N.C. Central (MEAC),12,9-3,12,215,2,17.92
119,Alabama A&M (SWAC),11,5-6,21,380,2,18.10
120,Illinois St. (MVFC),11,6-5,3,55,0,18.33
121,Holy Cross (Patriot),11,7-4,6,112,1,18.67
122,Idaho (Big Sky),13,9-4,4,92,0,23.00