Rank,Team,G,W-L,Punt Ret,Punt Ret Yds,Punt Ret TDs,Avg
1,SFA (ASUN),11,6-5,16,489,3,30.56
2,Eastern Ky. (ASUN),12,7-5,8,173,0,21.62
3,North Dakota (MVFC),12,7-5,5,101,2,20.20
4,ETSU (SoCon),11,3-8,11,219,2,19.91
5,Alabama St. (SWAC),11,6-5,16,280,2,17.50
6,Montana St. (Big Sky),14,12-2,18,312,2,17.33
7,San Diego (Pioneer),10,5-5,13,222,0,17.08
8,Morgan St. (MEAC),11,4-7,7,119,1,17.00
9,Central Ark. (ASUN),11,5-6,18,264,2,14.67
10,South Dakota (MVFC),11,3-8,8,115,0,14.38
11,Montana (Big Sky),13,8-5,32,456,3,14.25
12,Austin Peay (ASUN),11,7-4,17,241,1,14.18
13,Idaho (Big Sky),12,7-5,15,208,1,13.87
14,New Hampshire (CAA),13,9-4,23,315,2,13.70
15,UIW (Southland),14,12-2,29,396,3,13.66
16,Sacred Heart (NEC),11,5-6,14,186,0,13.29
17,Towson (CAA),11,6-5,15,196,1,13.07
18,North Dakota St. (MVFC),15,12-3,17,220,1,12.94
19,Mercer (SoCon),11,7-4,14,181,1,12.93
20,Weber St. (Big Sky),13,10-3,41,527,1,12.85
21,Kennesaw St. (ASUN),11,5-6,14,173,0,12.36
22,Texas Southern (SWAC),11,5-6,20,241,1,12.05
23,UAlbany (CAA),11,3-8,9,108,0,12.00
24,Eastern Ill. (OVC),11,2-9,9,107,0,11.89
25,Ark.-Pine Bluff (SWAC),11,3-8,21,246,0,11.71
26,Wofford (SoCon),11,3-8,10,117,1,11.70
27,Northwestern St. (Southland),11,4-7,13,149,0,11.46
28,Rhode Island (CAA),11,7-4,14,158,0,11.29
29,Northern Colo. (Big Sky),11,3-8,12,133,1,11.08
30,Marist (Pioneer),11,4-7,19,190,1,10.00
30,N.C. A&T (Big South),11,7-4,12,120,0,10.00
32,Morehead St. (Pioneer),11,2-9,19,189,2,9.95
33,Davidson (Pioneer),12,8-4,13,129,0,9.92
34,Colgate (Patriot),11,3-8,14,138,0,9.86
35,Missouri St. (MVFC),11,5-6,14,133,0,9.50
36,Hampton (CAA),11,4-7,3,28,0,9.33
37,Dayton (Pioneer),11,8-3,17,158,1,9.29
38,Fordham (Patriot),12,9-3,7,65,0,9.29
39,Georgetown (Patriot),11,2-9,10,92,1,9.20
40,Yale (Ivy League),10,8-2,10,91,0,9.10
41,Southeast Mo. St. (OVC),12,9-3,19,169,1,8.89
42,Portland St. (Big Sky),11,4-7,8,71,0,8.88
43,Sacramento St. (Big Sky),13,12-1,19,167,0,8.79
44,Brown (Ivy League),10,3-7,10,85,0,8.50
44,Southeastern La. (Southland),13,9-4,22,187,0,8.50
46,Princeton (Ivy League),10,8-2,8,66,0,8.25
47,Delaware St. (MEAC),11,5-6,19,156,0,8.21
48,Prairie View (SWAC),11,6-5,14,112,0,8.00
49,South Dakota St. (MVFC),15,14-1,29,231,0,7.97
50,South Carolina St. (MEAC),11,3-8,15,119,0,7.93
51,Jackson St. (SWAC),13,12-1,40,317,1,7.92
52,Elon (CAA),12,8-4,22,174,0,7.91
53,Harvard (Ivy League),10,6-4,19,149,1,7.84
54,VMI (SoCon),11,1-10,6,47,1,7.83
55,The Citadel (SoCon),11,4-7,10,78,0,7.80
56,Northern Ariz. (Big Sky),11,3-8,8,62,0,7.75
57,Howard (MEAC),11,5-6,15,115,0,7.67
58,Furman (SoCon),13,10-3,17,130,0,7.65
59,Grambling (SWAC),11,3-8,19,145,1,7.63
60,Saint Francis (PA) (NEC),12,9-3,24,183,0,7.62
61,LIU (NEC),11,4-7,14,105,0,7.50
62,Abilene Christian (WAC),11,7-4,18,134,0,7.44
63,Sam Houston (WAC),9,5-4,9,66,0,7.33
64,Presbyterian (Pioneer),11,1-10,7,51,0,7.29
65,UT Martin (OVC),11,7-4,15,103,0,6.87
66,Southern Utah (WAC),11,5-6,27,184,0,6.81
67,Richmond (CAA),13,9-4,15,102,0,6.80
68,Indiana St. (MVFC),11,2-9,8,54,0,6.75
69,William & Mary (CAA),13,11-2,20,133,0,6.65
70,Lafayette (Patriot),11,4-7,8,53,0,6.62
71,Stetson (Pioneer),10,4-6,16,104,0,6.50
72,N.C. Central (MEAC),12,10-2,20,128,0,6.40
73,Florida A&M (SWAC),11,9-2,18,114,0,6.33
74,Bucknell (Patriot),11,3-8,19,119,0,6.26
75,Murray St. (OVC),11,2-9,15,92,0,6.13
76,Butler (Pioneer),11,7-4,18,110,0,6.11
77,Penn (Ivy League),10,8-2,13,78,1,6.00
78,Holy Cross (Patriot),13,12-1,20,118,2,5.90
79,Western Caro. (SoCon),11,6-5,16,94,0,5.88
80,Alabama A&M (SWAC),11,4-7,13,76,0,5.85
81,Monmouth (CAA),11,5-6,5,29,0,5.80
82,Columbia (Ivy League),10,6-4,24,139,0,5.79
83,Southern U. (SWAC),12,7-5,19,110,0,5.79
84,Central Conn. St. (NEC),11,2-9,14,81,0,5.79
85,Delaware (CAA),13,8-5,21,120,1,5.71
86,UC Davis (Big Sky),11,6-5,20,109,0,5.45
87,North Ala. (ASUN),11,1-10,5,27,0,5.40
88,Samford (SoCon),13,11-2,11,58,0,5.27
89,Stony Brook (CAA),11,2-9,5,26,0,5.20
89,Western Ill. (MVFC),11,0-11,10,52,0,5.20
91,Tennessee St. (OVC),11,4-7,11,57,0,5.18
92,Gardner-Webb (Big South),13,7-6,5,25,0,5.00
93,Cal Poly (Big Sky),11,2-9,7,34,0,4.86
94,Nicholls (Southland),11,3-8,15,71,0,4.73
95,Charleston So. (Big South),10,2-8,9,42,0,4.67
95,Idaho St. (Big Sky),11,1-10,3,14,0,4.67
97,Lamar University (Southland),11,1-10,11,50,0,4.55
98,Robert Morris (Big South),11,0-11,13,59,0,4.54
99,Duquesne (NEC),11,4-7,17,77,1,4.53
100,UNI (MVFC),11,6-5,6,27,0,4.50
101,Jacksonville St. (ASUN),11,9-2,16,71,1,4.44
102,Campbell (Big South),11,5-6,10,41,2,4.10
103,Chattanooga (SoCon),11,7-4,11,44,1,4.00
103,Lehigh (Patriot),11,2-9,19,76,1,4.00
105,Bryant (Big South),11,4-7,12,46,0,3.83
105,Cornell (Ivy League),10,5-5,6,23,0,3.83
107,Maine (CAA),11,2-9,12,42,0,3.50
108,Youngstown St. (MVFC),11,7-4,14,45,0,3.21
109,Norfolk St. (MEAC),11,2-9,5,16,0,3.20
110,Valparaiso (Pioneer),12,5-7,11,35,0,3.18
111,Dartmouth (Ivy League),10,3-7,8,25,1,3.12
112,Tennessee Tech (OVC),11,4-7,16,44,0,2.75
113,Wagner (NEC),11,1-10,4,10,0,2.50
114,McNeese (Southland),11,4-7,8,18,0,2.25
115,Bethune-Cookman (SWAC),11,2-9,6,13,0,2.17
116,Drake (Pioneer),11,3-8,12,25,0,2.08
117,Illinois St. (MVFC),11,6-5,10,16,1,1.60
118,Houston Christian (Southland),11,2-9,12,16,0,1.33
119,Eastern Wash. (Big Sky),11,3-8,4,5,0,1.25
119,Mississippi Val. (SWAC),11,2-9,8,10,0,1.25
121,Alcorn (SWAC),11,5-6,3,3,0,1.00
122,Southern Ill. (MVFC),11,5-6,3,2,0,0.67
123,Villanova (CAA),11,6-5,8,-1,0,-0.12