Rank,Team,G,W-L,Rush,Rush Yds,Yds/Rush,Rush TD,YPG
1,Davidson (Pioneer),11,6-5,640,"3,471",5.42,37,315.5
2,Montana St. (Big Sky),16,15-1,723,"4,719",6.53,53,294.9
3,South Dakota St. (MVFC),15,12-3,576,"3,542",6.15,43,236.1
4,William & Mary (CAA),12,7-5,512,"2,793",5.46,32,232.8
5,Eastern Wash. (Big Sky),12,4-8,528,"2,752",5.21,32,229.3
6,South Dakota (MVFC),14,11-3,498,"3,023",6.07,42,215.9
7,Butler (Pioneer),12,9-3,484,"2,573",5.32,37,214.4
8,Jackson St. (SWAC),14,12-2,571,"2,967",5.20,33,211.9
9,Southern Utah (ASUN),12,7-5,511,"2,467",4.83,24,205.6
10,Weber St. (Big Sky),12,4-8,476,"2,448",5.14,13,204
11,Portland St. (Big Sky),11,3-8,455,"2,235",4.91,28,203.2
12,Lehigh (Patriot),13,9-4,522,"2,624",5.03,31,201.8
13,Youngstown St. (MVFC),12,4-8,505,"2,421",4.79,28,201.8
14,Central Ark. (ASUN),12,6-6,409,"2,398",5.86,28,199.8
15,Alcorn (SWAC),12,6-6,474,"2,361",4.98,26,196.8
16,Hampton (CAA),12,5-7,544,"2,350",4.32,32,195.8
17,Montana (Big Sky),14,9-5,502,"2,734",5.45,35,195.3
18,Richmond (CAA),13,10-3,522,"2,527",4.84,24,194.4
19,ETSU (SoCon),12,7-5,485,"2,330",4.80,23,194.2
20,North Dakota St. (MVFC),16,14-2,654,"3,093",4.73,38,193.3
21,Merrimack (FCS Independent),11,5-6,432,"2,118",4.90,17,192.5
22,McNeese (Southland),12,6-6,479,"2,300",4.80,26,191.7
23,Tarleton St. (ASUN),14,10-4,578,"2,675",4.63,28,191.1
24,LIU (NEC),12,4-8,443,"2,258",5.10,18,188.2
25,North Dakota (MVFC),12,5-7,480,"2,243",4.67,27,186.9
26,Eastern Ky. (ASUN),13,8-5,524,"2,422",4.62,22,186.3
27,Alabama A&M (SWAC),12,6-6,466,"2,194",4.71,23,182.8
28,Yale (Ivy League),10,7-3,382,"1,819",4.76,18,181.9
29,Delaware (CAA),11,9-2,399,"1,995",5.00,22,181.4
30,Sacred Heart (FCS Independent),11,5-6,420,"1,982",4.72,18,180.2
31,Northern Ariz. (Big Sky),13,8-5,475,"2,342",4.93,25,180.2
32,Lamar University (Southland),12,7-5,455,"2,161",4.75,16,180.1
33,N.C. Central (MEAC),11,8-3,369,"1,980",5.37,26,180
34,The Citadel (SoCon),12,5-7,517,"2,101",4.06,21,175.1
35,Columbia (Ivy League),10,7-3,371,"1,691",4.56,9,169.1
36,Alabama St. (SWAC),12,7-5,460,"2,028",4.41,12,169
37,Mercer (SoCon),14,11-3,561,"2,338",4.17,20,167
38,UIW (Southland),14,11-3,494,"2,336",4.73,19,166.9
39,Dartmouth (Ivy League),10,8-2,376,"1,665",4.43,17,166.5
40,Abilene Christian (ASUN),14,9-5,441,"2,316",5.25,27,165.4
41,Tennessee Tech (OVC),12,7-5,413,"1,983",4.80,21,165.3
42,Stony Brook (CAA),12,8-4,523,"1,979",3.78,22,164.9
43,UT Martin (OVC),14,9-5,526,"2,307",4.39,28,164.8
44,Towson (CAA),12,7-5,394,"1,977",5.02,21,164.8
45,Illinois St. (MVFC),14,10-4,522,"2,298",4.40,25,164.1
46,Penn (Ivy League),10,4-6,341,"1,629",4.78,16,162.9
47,Lafayette (Patriot),12,6-6,455,"1,930",4.24,25,160.8
47,Norfolk St. (MEAC),12,4-8,450,"1,930",4.29,18,160.8
49,SFA (Southland),12,7-5,428,"1,924",4.50,17,160.3
50,Idaho (Big Sky),14,10-4,472,"2,238",4.74,17,159.9
51,Southeastern La. (Southland),12,7-5,457,"1,912",4.18,18,159.3
52,Houston Christian (Southland),12,5-7,471,"1,907",4.05,17,158.9
53,Monmouth (CAA),12,6-6,373,"1,889",5.06,32,157.4
54,Southern U. (SWAC),13,8-5,494,"2,023",4.10,16,155.6
55,Villanova (CAA),14,10-4,495,"2,161",4.37,26,154.4
56,Holy Cross (Patriot),12,6-6,449,"1,842",4.10,18,153.5
57,Duquesne (NEC),11,8-3,363,"1,680",4.63,10,152.7
58,Presbyterian (Pioneer),12,6-6,433,"1,832",4.23,21,152.7
59,Nicholls (Southland),12,4-8,472,"1,828",3.87,16,152.3
60,Rhode Island (CAA),14,11-3,483,"2,132",4.41,24,152.3
61,Morgan St. (MEAC),12,6-6,466,"1,809",3.88,25,150.8
62,Indiana St. (MVFC),12,4-8,477,"1,799",3.77,17,149.9
63,Cornell (Ivy League),10,4-6,314,"1,482",4.72,12,148.2
64,Texas Southern (SWAC),11,5-6,417,"1,620",3.88,18,147.3
65,Murray St. (MVFC),12,1-11,436,"1,745",4.00,14,145.4
66,North Ala. (ASUN),12,3-9,441,"1,744",3.95,16,145.3
67,Delaware St. (MEAC),12,1-11,391,"1,742",4.46,17,145.2
68,UNI (MVFC),12,3-9,370,"1,739",4.70,11,144.9
69,Southern Ill. (MVFC),12,4-8,397,"1,729",4.36,16,144.1
70,Florida A&M (SWAC),12,7-5,367,"1,728",4.71,8,144
71,Howard (MEAC),12,4-8,441,"1,723",3.91,16,143.6
72,Northern Colo. (Big Sky),12,1-11,451,"1,721",3.82,11,143.4
73,South Carolina St. (MEAC),12,9-3,418,"1,718",4.11,25,143.2
74,Austin Peay (ASUN),12,4-8,436,"1,716",3.94,16,143
75,Sacramento St. (Big Sky),12,3-9,377,"1,711",4.54,12,142.6
76,Campbell (CAA),12,3-9,415,"1,703",4.10,10,141.9
77,Central Conn. St. (NEC),13,7-6,503,"1,843",3.66,18,141.8
78,Harvard (Ivy League),10,8-2,372,"1,386",3.73,17,138.6
79,Colgate (Patriot),12,2-10,363,"1,657",4.56,16,138.1
80,UC Davis (Big Sky),14,11-3,479,"1,915",4.00,21,136.8
81,Western Caro. (SoCon),12,7-5,432,"1,636",3.79,20,136.3
82,Georgetown (Patriot),11,5-6,360,"1,461",4.06,14,132.8
83,Brown (Ivy League),10,3-7,385,"1,310",3.40,19,131
84,Gardner-Webb (OVC),12,4-8,435,"1,559",3.58,19,129.9
85,Elon (CAA),12,6-6,413,"1,556",3.77,18,129.7
86,Idaho St. (Big Sky),12,5-7,334,"1,554",4.65,14,129.5
87,San Diego (Pioneer),11,8-3,370,"1,413",3.82,6,128.5
88,Chattanooga (SoCon),12,7-5,447,"1,530",3.42,17,127.5
89,Fordham (Patriot),12,2-10,459,"1,526",3.32,14,127.2
90,Charleston So. (OVC),12,1-11,409,"1,490",3.64,11,124.2
91,Saint Francis (NEC),11,4-7,380,"1,365",3.59,10,124.1
92,Robert Morris (NEC),12,7-5,378,"1,485",3.93,15,123.8
93,Wagner (NEC),12,4-8,396,"1,478",3.73,11,123.2
93,Western Ill. (OVC),12,4-8,397,"1,478",3.72,20,123.2
95,Dayton (Pioneer),11,6-5,421,"1,310",3.11,8,119.1
96,Bucknell (Patriot),12,6-6,415,"1,427",3.44,13,118.9
97,Missouri St. (MVFC),12,8-4,376,"1,423",3.78,25,118.6
98,Ark.-Pine Bluff (SWAC),12,3-9,373,"1,387",3.72,17,115.6
99,Valparaiso (Pioneer),11,4-7,372,"1,264",3.40,13,114.9
100,Samford (SoCon),11,4-7,385,"1,259",3.27,14,114.5
101,N.C. A&T (CAA),12,1-11,403,"1,358",3.37,8,113.2
102,Grambling (SWAC),12,5-7,406,"1,340",3.30,19,111.7
103,Prairie View (SWAC),12,5-7,425,"1,334",3.14,11,111.2
104,Marist (Pioneer),11,1-10,312,"1,204",3.86,10,109.5
105,UAlbany (CAA),12,4-8,387,"1,304",3.37,11,108.7
106,Maine (CAA),12,5-7,382,"1,294",3.39,15,107.8
107,Bethune-Cookman (SWAC),12,2-10,420,"1,265",3.01,12,105.4
108,Bryant (CAA),12,2-10,320,"1,227",3.83,5,102.3
109,Drake (Pioneer),11,8-3,280,"1,119",4.00,14,101.7
110,Tennessee St. (OVC),13,9-4,399,"1,322",3.31,16,101.7
111,Cal Poly (Big Sky),11,3-8,323,"1,118",3.46,9,101.6
112,Princeton (Ivy League),10,3-7,337,"1,008",2.99,15,100.8
113,Utah Tech (ASUN),12,1-11,355,"1,200",3.38,11,100
114,Wofford (SoCon),12,5-7,361,"1,191",3.30,10,99.3
115,VMI (SoCon),12,1-11,382,"1,184",3.10,9,98.7
116,Southeast Mo. St. (OVC),13,9-4,341,"1,213",3.56,13,93.3
117,Furman (SoCon),11,3-8,381,988,2.59,8,89.8
118,New Hampshire (CAA),13,8-5,391,"1,124",2.87,9,86.5
119,Mississippi Val. (SWAC),12,1-11,414,"1,035",2.50,12,86.3
120,Stetson (Pioneer),11,2-9,299,920,3.08,9,83.6
121,Morehead St. (Pioneer),12,7-5,379,916,2.42,9,76.3
122,Eastern Ill. (OVC),12,3-9,346,913,2.64,9,76.1
123,Northwestern St. (Southland),12,0-12,370,715,1.93,8,59.6