Rank,Team,G,W-L,TDs,PAT,2PT,Def Pts,FG,Saf,Pts,PPG
1,Montana St. (Big Sky),16,15-1,87,83,1,0,15,0,652,40.8
2,Monmouth (CAA),12,6-6,67,58,1,0,2,0,468,39
3,North Dakota St. (MVFC),16,14-2,81,77,1,0,15,0,610,38.1
4,South Dakota St. (MVFC),15,12-3,73,70,0,0,14,0,550,36.7
5,Jackson St. (SWAC),14,12-2,63,60,1,0,22,2,510,36.4
6,Eastern Wash. (Big Sky),12,4-8,58,50,3,0,8,1,430,35.8
7,South Dakota (MVFC),14,11-3,67,64,1,0,11,0,501,35.8
8,Butler (Pioneer),12,9-3,57,44,4,0,11,0,427,35.6
8,SFA (Southland),12,7-5,53,51,1,0,18,1,427,35.6
10,N.C. Central (MEAC),11,8-3,55,43,0,0,6,0,391,35.5
11,Davidson (Pioneer),11,6-5,54,52,0,0,4,0,388,35.3
12,Delaware (CAA),11,9-2,53,39,3,0,7,0,384,34.9
13,Missouri St. (MVFC),12,8-4,55,53,1,0,11,0,418,34.8
14,UC Davis (Big Sky),14,11-3,63,56,2,0,16,0,486,34.7
15,Yale (Ivy League),10,7-3,45,42,0,0,8,1,338,33.8
16,Abilene Christian (ASUN),14,9-5,62,55,2,0,14,0,473,33.8
17,UIW (Southland),14,11-3,61,56,2,0,15,0,471,33.6
18,Montana (Big Sky),14,9-5,59,50,6,0,17,0,467,33.4
19,South Carolina St. (MEAC),12,9-3,54,42,1,0,9,1,397,33.1
19,Western Caro. (SoCon),12,7-5,49,45,2,0,18,0,397,33.1
21,Harvard (Ivy League),10,8-2,44,36,4,0,6,0,326,32.6
22,Idaho St. (Big Sky),12,5-7,49,44,0,0,15,1,385,32.1
23,Central Ark. (ASUN),12,6-6,51,49,0,0,9,0,382,31.8
24,UT Martin (OVC),14,9-5,57,54,0,0,13,2,439,31.4
25,Western Ill. (OVC),12,4-8,47,43,0,1,15,0,370,31
26,North Dakota (MVFC),12,5-7,47,44,1,0,14,0,370,30.8
27,Tarleton St. (ASUN),14,10-4,56,51,1,0,13,1,430,30.7
28,Alabama A&M (SWAC),12,6-6,46,42,3,0,14,1,368,30.7
29,Mercer (SoCon),14,11-3,54,54,0,0,16,1,428,30.6
30,Southeast Mo. St. (OVC),13,9-4,46,39,2,0,26,0,397,30.5
31,Cornell (Ivy League),10,4-6,38,33,1,0,13,0,302,30.2
32,Dartmouth (Ivy League),10,8-2,37,35,1,0,13,1,300,30
33,Stony Brook (CAA),12,8-4,44,41,0,0,17,0,356,29.7
34,Hampton (CAA),12,5-7,48,43,0,0,8,0,355,29.6
35,Duquesne (NEC),11,8-3,44,42,0,0,6,0,324,29.5
36,Portland St. (Big Sky),11,3-8,42,37,0,0,11,0,322,29.3
37,Sacramento St. (Big Sky),12,3-9,42,40,1,0,19,0,351,29.3
37,William & Mary (CAA),12,7-5,48,44,2,0,5,0,351,29.3
39,Southern Utah (ASUN),12,7-5,45,36,5,0,11,0,349,29.1
40,San Diego (Pioneer),11,8-3,39,32,1,0,16,1,318,28.9
41,Bucknell (Patriot),12,6-6,47,46,0,0,6,0,346,28.8
42,Lehigh (Patriot),13,9-4,49,46,0,0,9,2,371,28.5
43,Weber St. (Big Sky),12,4-8,40,35,0,0,21,1,340,28.3
44,Northern Ariz. (Big Sky),13,8-5,47,44,1,0,12,1,366,28.2
45,Presbyterian (Pioneer),12,6-6,45,38,0,0,9,1,337,28.1
46,Idaho (Big Sky),14,10-4,49,37,4,0,17,0,390,27.9
47,ETSU (SoCon),12,7-5,42,40,0,0,13,0,331,27.6
47,Holy Cross (Patriot),12,6-6,42,36,2,0,13,0,331,27.6
47,Houston Christian (Southland),12,5-7,40,36,2,0,17,0,331,27.6
50,Youngstown St. (MVFC),12,4-8,41,39,2,1,12,1,327,27.4
51,Penn (Ivy League),10,4-6,35,31,0,0,11,0,274,27.4
52,Richmond (CAA),13,10-3,41,39,0,0,22,1,353,27.2
53,Tennessee St. (OVC),13,9-4,45,42,0,0,12,0,348,26.8
54,Illinois St. (MVFC),14,10-4,49,44,1,0,11,0,373,26.6
55,Towson (CAA),12,7-5,38,35,1,0,15,0,310,25.8
56,Lafayette (Patriot),12,6-6,43,38,1,0,3,0,307,25.6
57,Brown (Ivy League),10,3-7,32,24,2,0,11,1,255,25.5
58,Drake (Pioneer),11,8-3,32,26,2,0,18,2,280,25.5
59,Elon (CAA),12,6-6,38,36,0,0,13,0,303,25.3
60,Chattanooga (SoCon),12,7-5,36,36,0,0,16,0,300,25
60,McNeese (Southland),12,6-6,39,36,0,0,10,0,300,25
62,Grambling (SWAC),12,5-7,37,33,1,0,13,0,296,24.7
63,Florida A&M (SWAC),12,7-5,35,32,2,0,16,0,294,24.5
63,Gardner-Webb (OVC),12,4-8,37,35,1,1,11,0,292,24.5
63,Lamar University (Southland),12,7-5,38,33,0,0,11,0,294,24.5
66,Morgan St. (MEAC),12,6-6,38,31,0,0,11,0,292,24.3
67,Central Conn. St. (NEC),13,7-6,38,34,2,0,16,1,316,24.3
68,Rhode Island (CAA),14,11-3,44,40,2,0,10,1,340,24.3
69,Samford (SoCon),11,4-7,36,29,2,0,6,0,267,24.3
70,Tennessee Tech (OVC),12,7-5,35,31,0,0,15,1,288,24
71,North Ala. (ASUN),12,3-9,36,25,5,0,10,1,283,23.6
72,Ark.-Pine Bluff (SWAC),12,3-9,36,36,0,0,10,0,282,23.5
73,Maine (CAA),12,5-7,36,28,4,0,9,0,279,23.3
73,Robert Morris (NEC),12,7-5,38,31,1,0,6,0,279,23.3
75,Campbell (CAA),12,3-9,35,29,1,0,12,0,277,23.1
76,Villanova (CAA),14,10-4,40,38,2,0,13,1,323,23.1
77,Merrimack (FCS Independent),11,5-6,30,27,0,0,14,2,253,23
78,Southeastern La. (Southland),12,7-5,32,29,1,0,17,0,274,22.8
79,Alabama St. (SWAC),12,7-5,30,29,0,0,21,0,272,22.7
79,Nicholls (Southland),12,4-8,35,30,0,0,10,1,272,22.7
81,New Hampshire (CAA),13,8-5,34,32,1,0,18,1,294,22.6
82,Austin Peay (ASUN),12,4-8,33,32,0,0,13,0,269,22.4
82,Southern Ill. (MVFC),12,4-8,35,27,0,1,10,0,267,22.4
84,Eastern Ky. (ASUN),13,8-5,38,34,1,0,9,0,291,22.4
85,LIU (NEC),12,4-8,35,35,0,0,7,0,266,22.2
86,Alcorn (SWAC),12,6-6,33,31,0,0,10,1,261,21.8
87,Princeton (Ivy League),10,3-7,27,24,0,0,10,0,216,21.6
88,The Citadel (SoCon),12,5-7,31,28,0,0,14,1,258,21.5
89,Bryant (CAA),12,2-10,33,26,1,0,10,0,256,21.3
90,Texas Southern (SWAC),11,5-6,30,30,0,0,7,1,233,21.2
91,Prairie View (SWAC),12,5-7,27,26,1,0,20,1,252,21
92,Southern U. (SWAC),13,8-5,32,22,2,0,18,0,272,20.9
93,Stetson (Pioneer),11,2-9,31,28,0,0,5,0,229,20.8
94,Cal Poly (Big Sky),11,3-8,29,28,0,1,8,0,226,20.7
95,Columbia (Ivy League),10,7-3,25,24,0,0,11,0,207,20.7
96,Norfolk St. (MEAC),12,4-8,33,27,0,0,7,0,246,20.5
97,Dayton (Pioneer),11,6-5,28,23,0,0,9,2,222,20.2
98,Bethune-Cookman (SWAC),12,2-10,30,27,0,0,11,1,242,20.2
98,Colgate (Patriot),12,2-10,29,29,0,0,13,0,242,20.2
98,Indiana St. (MVFC),12,4-8,33,23,3,0,5,0,242,20.2
101,Howard (MEAC),12,4-8,32,29,0,1,5,0,236,19.8
101,UNI (MVFC),12,3-9,29,27,2,0,11,0,238,19.8
103,Furman (SoCon),11,3-8,25,24,0,0,14,0,216,19.6
104,UAlbany (CAA),12,4-8,29,23,3,1,10,0,233,19.6
105,Wagner (NEC),12,4-8,32,28,0,0,3,1,231,19.3
106,Eastern Ill. (OVC),12,3-9,29,25,1,0,7,0,222,18.5
107,Murray St. (MVFC),12,1-11,25,23,2,0,14,0,219,18.3
107,Utah Tech (ASUN),12,1-11,28,27,0,0,8,0,219,18.3
109,Georgetown (Patriot),11,5-6,26,24,0,0,6,1,200,18.2
110,Fordham (Patriot),12,2-10,26,20,3,0,10,1,214,17.8
111,Sacred Heart (FCS Independent),11,5-6,24,22,0,0,10,0,196,17.8
112,Delaware St. (MEAC),12,1-11,28,26,0,0,6,0,212,17.7
113,Morehead St. (Pioneer),12,7-5,27,24,0,1,7,0,207,17.4
114,Marist (Pioneer),11,1-10,27,15,2,0,3,0,190,17.3
115,Mississippi Val. (SWAC),12,1-11,27,25,1,0,4,0,201,16.8
116,Wofford (SoCon),12,5-7,22,16,2,0,14,1,196,16.3
117,Saint Francis (NEC),11,4-7,22,18,1,0,8,0,176,16
118,N.C. A&T (CAA),12,1-11,22,15,2,0,12,0,187,15.6
119,Valparaiso (Pioneer),11,4-7,19,16,3,0,11,1,171,15.5
120,Charleston So. (OVC),12,1-11,22,18,1,0,6,0,170,14.2
121,VMI (SoCon),12,1-11,18,17,0,0,8,0,149,12.4
122,Northwestern St. (Southland),12,0-12,18,18,0,0,6,0,144,12
123,Northern Colo. (Big Sky),12,1-11,18,14,1,0,4,0,136,11.3