Rank,Team,G,W-L,3rd Att,3rd Conv,Pct
1,Eastern Wash. (Big Sky),12,4-8,165,93,0.564
2,Montana St. (Big Sky),16,15-1,198,111,0.561
3,North Dakota St. (MVFC),16,14-2,202,110,0.545
4,Butler (Pioneer),12,9-3,148,79,0.534
5,South Dakota St. (MVFC),15,12-3,186,95,0.511
6,Youngstown St. (MVFC),12,4-8,166,83,0.5
7,Southern Utah (ASUN),12,7-5,164,81,0.494
8,Delaware (CAA),11,9-2,160,78,0.488
9,Hampton (CAA),12,5-7,178,86,0.483
10,William & Mary (CAA),12,7-5,144,69,0.479
11,Yale (Ivy League),10,7-3,143,68,0.476
12,Lehigh (Patriot),13,9-4,153,72,0.471
13,Portland St. (Big Sky),11,3-8,141,66,0.468
14,Abilene Christian (ASUN),14,9-5,198,92,0.465
15,UC Davis (Big Sky),14,11-3,183,85,0.464
16,Penn (Ivy League),10,4-6,125,58,0.464
17,Richmond (CAA),13,10-3,169,78,0.462
18,Monmouth (CAA),12,6-6,148,68,0.459
19,Illinois St. (MVFC),14,10-4,206,94,0.456
20,North Dakota (MVFC),12,5-7,160,73,0.456
21,South Dakota (MVFC),14,11-3,142,64,0.451
22,Idaho St. (Big Sky),12,5-7,160,72,0.45
23,Harvard (Ivy League),10,8-2,136,61,0.449
24,Eastern Ky. (ASUN),13,8-5,177,78,0.441
25,Davidson (Pioneer),11,6-5,168,74,0.44
26,Columbia (Ivy League),10,7-3,134,59,0.44
27,Brown (Ivy League),10,3-7,169,74,0.438
28,Missouri St. (MVFC),12,8-4,140,61,0.436
29,N.C. Central (MEAC),11,8-3,122,53,0.434
30,Western Caro. (SoCon),12,7-5,189,82,0.434
31,Western Ill. (OVC),12,4-8,162,70,0.432
32,Northern Ariz. (Big Sky),13,8-5,153,66,0.431
33,Campbell (CAA),12,3-9,158,68,0.43
34,Rhode Island (CAA),14,11-3,175,75,0.429
35,Duquesne (NEC),11,8-3,145,62,0.428
36,Florida A&M (SWAC),12,7-5,149,63,0.423
37,Cornell (Ivy League),10,4-6,135,57,0.422
38,Jackson St. (SWAC),14,12-2,171,72,0.421
39,Montana (Big Sky),14,9-5,179,75,0.419
40,Dartmouth (Ivy League),10,8-2,134,56,0.418
41,Drake (Pioneer),11,8-3,139,58,0.417
42,Southeast Mo. St. (OVC),13,9-4,190,79,0.416
43,Holy Cross (Patriot),12,6-6,154,64,0.416
44,Lafayette (Patriot),12,6-6,167,69,0.413
45,Dayton (Pioneer),11,6-5,166,68,0.41
46,Sacramento St. (Big Sky),12,3-9,169,69,0.408
47,Stony Brook (CAA),12,8-4,188,76,0.404
48,Southern Ill. (MVFC),12,4-8,176,71,0.403
49,Towson (CAA),12,7-5,149,60,0.403
50,Tarleton St. (ASUN),14,10-4,174,70,0.402
51,South Carolina St. (MEAC),12,9-3,142,57,0.401
52,UT Martin (OVC),14,9-5,201,80,0.398
53,Bucknell (Patriot),12,6-6,174,69,0.397
54,UIW (Southland),14,11-3,202,80,0.396
55,Lamar University (Southland),12,7-5,149,59,0.396
56,Morgan St. (MEAC),12,6-6,165,65,0.394
57,San Diego (Pioneer),11,8-3,151,59,0.391
58,Ark.-Pine Bluff (SWAC),12,3-9,149,58,0.389
59,Alabama A&M (SWAC),12,6-6,163,63,0.387
59,Idaho (Big Sky),14,10-4,163,63,0.387
61,Weber St. (Big Sky),12,4-8,178,68,0.382
62,Merrimack (FCS Independent),11,5-6,144,55,0.382
63,Chattanooga (SoCon),12,7-5,165,63,0.382
64,Howard (MEAC),12,4-8,166,63,0.38
65,The Citadel (SoCon),12,5-7,177,67,0.379
66,Central Ark. (ASUN),12,6-6,135,51,0.378
67,Eastern Ill. (OVC),12,3-9,160,60,0.375
68,UAlbany (CAA),12,4-8,163,61,0.374
69,Tennessee St. (OVC),13,9-4,174,65,0.374
70,Maine (CAA),12,5-7,146,54,0.37
71,Villanova (CAA),14,10-4,176,65,0.369
72,Robert Morris (NEC),12,7-5,149,55,0.369
73,Austin Peay (ASUN),12,4-8,171,63,0.368
74,Bryant (CAA),12,2-10,158,58,0.367
75,Georgetown (Patriot),11,5-6,150,55,0.367
76,Princeton (Ivy League),10,3-7,137,50,0.365
77,Presbyterian (Pioneer),12,6-6,148,54,0.365
78,Colgate (Patriot),12,2-10,151,55,0.364
79,North Ala. (ASUN),12,3-9,162,59,0.364
80,Indiana St. (MVFC),12,4-8,168,61,0.363
81,LIU (NEC),12,4-8,146,53,0.363
82,Furman (SoCon),11,3-8,163,59,0.362
83,Gardner-Webb (OVC),12,4-8,170,61,0.359
84,Wagner (NEC),12,4-8,159,57,0.358
85,Southeastern La. (Southland),12,7-5,182,65,0.357
86,Southern U. (SWAC),13,8-5,199,71,0.357
87,Houston Christian (Southland),12,5-7,174,62,0.356
88,Central Conn. St. (NEC),13,7-6,186,66,0.355
89,Alcorn (SWAC),12,6-6,164,58,0.354
90,SFA (Southland),12,7-5,160,56,0.35
90,Tennessee Tech (OVC),12,7-5,160,56,0.35
92,Texas Southern (SWAC),11,5-6,143,50,0.35
93,McNeese (Southland),12,6-6,159,55,0.346
94,Murray St. (MVFC),12,1-11,175,60,0.343
95,ETSU (SoCon),12,7-5,164,56,0.341
96,Cal Poly (Big Sky),11,3-8,148,50,0.338
97,Stetson (Pioneer),11,2-9,166,56,0.337
98,UNI (MVFC),12,3-9,137,46,0.336
99,Sacred Heart (FCS Independent),11,5-6,140,47,0.336
100,Mercer (SoCon),14,11-3,186,62,0.333
101,Samford (SoCon),11,4-7,160,53,0.331
102,Mississippi Val. (SWAC),12,1-11,170,56,0.329
103,Norfolk St. (MEAC),12,4-8,153,50,0.327
104,Saint Francis (NEC),11,4-7,147,48,0.327
105,Prairie View (SWAC),12,5-7,166,54,0.325
106,Nicholls (Southland),12,4-8,183,59,0.322
107,N.C. A&T (CAA),12,1-11,168,54,0.321
108,Alabama St. (SWAC),12,7-5,153,49,0.32
109,Bethune-Cookman (SWAC),12,2-10,160,50,0.313
110,Delaware St. (MEAC),12,1-11,151,47,0.311
111,New Hampshire (CAA),13,8-5,171,53,0.31
112,Elon (CAA),12,6-6,149,46,0.309
113,Morehead St. (Pioneer),12,7-5,148,45,0.304
114,Marist (Pioneer),11,1-10,158,48,0.304
115,Northern Colo. (Big Sky),12,1-11,172,52,0.302
116,Utah Tech (ASUN),12,1-11,180,54,0.3
117,Charleston So. (OVC),12,1-11,148,44,0.297
118,Valparaiso (Pioneer),11,4-7,139,40,0.288
119,Grambling (SWAC),12,5-7,164,47,0.287
120,Wofford (SoCon),12,5-7,156,43,0.276
121,Fordham (Patriot),12,2-10,171,46,0.269
122,VMI (SoCon),12,1-11,167,39,0.234
123,Northwestern St. (Southland),12,0-12,165,38,0.23