Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Fordham (Patriot),12,9-3,940,"7,307",7.77,79,608.9
2,UIW (Southland),14,12-2,"1,035","8,137",7.86,92,581.2
3,Sacramento St. (Big Sky),13,12-1,"1,018","6,498",6.38,67,499.8
4,Montana St. (Big Sky),14,12-2,980,"6,931",7.07,70,495.1
5,UC Davis (Big Sky),11,6-5,793,"5,351",6.75,47,486.5
6,Western Caro. (SoCon),11,6-5,801,"5,339",6.67,43,485.4
7,Mercer (SoCon),11,7-4,747,"5,175",6.93,52,470.5
8,Southeast Mo. St. (OVC),12,9-3,833,"5,618",6.74,48,468.2
9,Monmouth (CAA),11,5-6,730,"5,079",6.96,54,461.7
10,Eastern Ky. (ASUN),12,7-5,820,"5,416",6.60,53,451.3
11,Holy Cross (Patriot),13,12-1,861,"5,842",6.79,62,449.4
12,Davidson (Pioneer),12,8-4,856,"5,392",6.30,49,449.3
13,William & Mary (CAA),13,11-2,828,"5,835",7.05,54,448.8
14,Jackson St. (SWAC),13,12-1,950,"5,797",6.10,59,445.9
15,N.C. Central (MEAC),12,10-2,789,"5,344",6.77,60,445.3
16,UNI (MVFC),11,6-5,713,"4,894",6.86,44,444.9
17,UT Martin (OVC),11,7-4,738,"4,867",6.59,47,442.5
18,Gardner-Webb (Big South),13,7-6,958,"5,740",5.99,55,441.5
19,Southeastern La. (Southland),13,9-4,936,"5,717",6.11,56,439.8
20,Samford (SoCon),13,11-2,981,"5,651",5.76,57,434.7
21,Central Ark. (ASUN),11,5-6,723,"4,776",6.61,39,434.2
22,Idaho (Big Sky),12,7-5,812,"5,192",6.39,51,432.7
23,Bryant (Big South),11,4-7,784,"4,728",6.03,45,429.8
24,Saint Francis (PA) (NEC),12,9-3,791,"5,146",6.51,51,428.8
25,Richmond (CAA),13,9-4,990,"5,513",5.57,46,424.1
26,Austin Peay (ASUN),11,7-4,813,"4,662",5.73,42,423.8
27,Jacksonville St. (ASUN),11,9-2,721,"4,660",6.46,48,423.6
28,SFA (ASUN),11,6-5,776,"4,647",5.99,41,422.5
29,Furman (SoCon),13,10-3,924,"5,485",5.94,49,421.9
30,Campbell (Big South),11,5-6,793,"4,584",5.78,39,416.7
31,Yale (Ivy League),10,8-2,674,"4,128",6.12,36,412.8
32,Chattanooga (SoCon),11,7-4,740,"4,501",6.08,38,409.2
33,Delaware (CAA),13,8-5,936,"5,314",5.68,48,408.8
34,Rhode Island (CAA),11,7-4,697,"4,451",6.39,42,404.6
35,Cal Poly (Big Sky),11,2-9,791,"4,433",5.60,32,403
36,Weber St. (Big Sky),13,10-3,945,"5,237",5.54,50,402.8
37,UAlbany (CAA),11,3-8,732,"4,421",6.04,41,401.9
38,Sacred Heart (NEC),11,5-6,804,"4,412",5.49,33,401.1
39,North Dakota St. (MVFC),15,12-3,912,"6,012",6.59,63,400.8
40,Youngstown St. (MVFC),11,7-4,706,"4,385",6.21,37,398.6
41,Abilene Christian (WAC),11,7-4,788,"4,383",5.56,40,398.5
42,Southern U. (SWAC),12,7-5,774,"4,776",6.17,44,398
43,Montana (Big Sky),13,8-5,926,"5,144",5.56,55,395.7
44,Tennessee Tech (OVC),11,4-7,743,"4,331",5.83,34,393.7
45,Southern Utah (WAC),11,5-6,736,"4,310",5.86,40,391.8
46,Portland St. (Big Sky),11,4-7,761,"4,284",5.63,38,389.5
47,Southern Ill. (MVFC),11,5-6,785,"4,272",5.44,40,388.4
48,Eastern Wash. (Big Sky),11,3-8,773,"4,270",5.52,35,388.2
48,North Ala. (ASUN),11,1-10,731,"4,270",5.84,42,388.2
50,South Dakota St. (MVFC),15,14-1,933,"5,768",6.18,62,384.5
51,Elon (CAA),12,8-4,789,"4,613",5.85,37,384.4
52,N.C. A&T (Big South),11,7-4,711,"4,220",5.94,36,383.6
53,Harvard (Ivy League),10,6-4,664,"3,830",5.77,33,383
54,Stetson (Pioneer),10,4-6,666,"3,821",5.74,34,382.1
55,Northwestern St. (Southland),11,4-7,863,"4,188",4.85,32,380.7
56,Alabama A&M (SWAC),11,4-7,791,"4,179",5.28,27,379.9
57,Butler (Pioneer),11,7-4,748,"4,173",5.58,37,379.4
58,Prairie View (SWAC),11,6-5,724,"4,144",5.72,40,376.7
59,Villanova (CAA),11,6-5,654,"4,143",6.33,36,376.6
60,New Hampshire (CAA),13,9-4,865,"4,891",5.65,46,376.2
61,North Dakota (MVFC),12,7-5,783,"4,509",5.76,45,375.8
62,Howard (MEAC),11,5-6,726,"4,108",5.66,41,373.5
63,Northern Ariz. (Big Sky),11,3-8,823,"4,094",4.97,30,372.2
64,Kennesaw St. (ASUN),11,5-6,829,"4,059",4.90,36,369
65,Missouri St. (MVFC),11,5-6,698,"4,030",5.77,37,366.4
66,Princeton (Ivy League),10,8-2,670,"3,663",5.47,35,366.3
67,Bethune-Cookman (SWAC),11,2-9,713,"4,012",5.63,30,364.7
68,ETSU (SoCon),11,3-8,714,"4,003",5.61,35,363.9
69,Columbia (Ivy League),10,6-4,696,"3,625",5.21,29,362.5
70,Nicholls (Southland),11,3-8,791,"3,982",5.03,24,362
71,Georgetown (Patriot),11,2-9,772,"3,935",5.10,28,357.7
72,San Diego (Pioneer),10,5-5,621,"3,562",5.74,34,356.2
73,Maine (CAA),11,2-9,739,"3,891",5.27,32,353.7
74,Brown (Ivy League),10,3-7,800,"3,535",4.42,29,353.5
75,Florida A&M (SWAC),11,9-2,756,"3,887",5.14,32,353.4
76,LIU (NEC),11,4-7,721,"3,871",5.37,30,351.9
77,Penn (Ivy League),10,8-2,703,"3,497",4.97,32,349.7
78,Lamar University (Southland),11,1-10,777,"3,834",4.93,26,348.5
79,Duquesne (NEC),11,4-7,752,"3,811",5.07,32,346.5
80,McNeese (Southland),11,4-7,678,"3,798",5.60,29,345.3
81,Northern Colo. (Big Sky),11,3-8,771,"3,770",4.89,27,342.7
82,Texas Southern (SWAC),11,5-6,732,"3,751",5.12,32,341
83,Valparaiso (Pioneer),12,5-7,770,"4,091",5.31,33,340.9
84,Morehead St. (Pioneer),11,2-9,799,"3,743",4.68,28,340.3
85,Alcorn (SWAC),11,5-6,750,"3,732",4.98,24,339.3
86,Dayton (Pioneer),11,8-3,725,"3,640",5.02,36,330.9
87,Sam Houston (WAC),9,5-4,632,"2,975",4.71,16,330.6
88,Idaho St. (Big Sky),11,1-10,739,"3,600",4.87,19,327.3
89,The Citadel (SoCon),11,4-7,739,"3,589",4.86,25,326.3
90,Cornell (Ivy League),10,5-5,680,"3,250",4.78,25,325
91,Hampton (CAA),11,4-7,613,"3,549",5.79,28,322.6
92,Dartmouth (Ivy League),10,3-7,602,"3,224",5.36,25,322.4
93,Wofford (SoCon),11,3-8,684,"3,543",5.18,28,322.1
94,Lehigh (Patriot),11,2-9,727,"3,536",4.86,20,321.5
95,Towson (CAA),11,6-5,726,"3,532",4.87,24,321.1
96,Central Conn. St. (NEC),11,2-9,721,"3,525",4.89,27,320.5
97,Colgate (Patriot),11,3-8,703,"3,469",4.93,25,315.4
98,Tennessee St. (OVC),11,4-7,737,"3,460",4.69,20,314.5
99,Charleston So. (Big South),10,2-8,692,"3,143",4.54,25,314.3
100,Ark.-Pine Bluff (SWAC),11,3-8,729,"3,449",4.73,29,313.5
101,Marist (Pioneer),11,4-7,710,"3,425",4.82,26,311.4
102,Alabama St. (SWAC),11,6-5,662,"3,377",5.10,24,307
103,Houston Christian (Southland),11,2-9,772,"3,375",4.37,20,306.8
104,Murray St. (OVC),11,2-9,712,"3,341",4.69,21,303.7
105,Drake (Pioneer),11,3-8,750,"3,309",4.41,24,300.8
106,South Carolina St. (MEAC),11,3-8,702,"3,306",4.71,30,300.5
107,Presbyterian (Pioneer),11,1-10,699,"3,298",4.72,22,299.8
108,Norfolk St. (MEAC),11,2-9,650,"3,286",5.06,26,298.7
109,Grambling (SWAC),11,3-8,665,"3,281",4.93,29,298.3
110,Indiana St. (MVFC),11,2-9,691,"3,279",4.75,22,298.1
111,Eastern Ill. (OVC),11,2-9,699,"3,251",4.65,28,295.5
112,Illinois St. (MVFC),11,6-5,697,"3,171",4.55,20,288.3
113,South Dakota (MVFC),11,3-8,632,"3,146",4.98,23,286
114,VMI (SoCon),11,1-10,720,"3,141",4.36,19,285.5
115,Stony Brook (CAA),11,2-9,683,"3,091",4.53,20,281
116,Western Ill. (MVFC),11,0-11,683,"2,999",4.39,18,272.6
117,Morgan St. (MEAC),11,4-7,653,"2,987",4.57,24,271.5
118,Mississippi Val. (SWAC),11,2-9,691,"2,974",4.30,18,270.4
119,Bucknell (Patriot),11,3-8,713,"2,870",4.03,16,260.9
120,Delaware St. (MEAC),11,5-6,656,"2,826",4.31,26,256.9
121,Wagner (NEC),11,1-10,682,"2,665",3.91,16,242.3
122,Lafayette (Patriot),11,4-7,665,"2,482",3.73,17,225.6
123,Robert Morris (Big South),11,0-11,689,"2,447",3.55,13,222.5