Team,Conference,rec. vs D1,SP+,rank,pctile,Off. SP+,rank,Def. SP+,rank
South Dakota State,MVC,14-1,23.1,1,99.2%,48.8,1,25.7,49
Sacramento State,Big Sky,12-1,22.2,2,98.9%,43.3,3,21.1,2
Montana State,Big Sky,12-2,19.5,3,97.8%,40.3,7,20.8,1
North Dakota State,MVC,12-3,18.3,4,97.1%,42.5,4,24.2,21
Weber State,Big Sky,9-3,17.3,5,96.4%,40.0,9,22.6,6
Montana,Big Sky,8-5,16.0,6,95.2%,37.9,14,21.9,3
Jacksonville State,A-Sun,9-2,15.6,7,94.7%,39.9,10,24.3,23
William & Mary,CAA,11-2,15.3,8,94.3%,40.1,8,24.9,39
Princeton,Ivy League,8-2,15.1,9,94.1%,42.4,5,27.4,74
UC Davis,Big Sky,6-5,14.8,10,93.8%,37.2,20,22.4,5
Delaware,CAA,8-5,13.7,11,92.2%,37.6,16,23.9,19
Samford,Southern,11-2,13.7,12,92.2%,39.6,12,25.9,51
Incarnate Word,Southland,11-2,13.7,13,92.2%,44.1,2,30.4,111
Idaho,Big Sky,7-5,13.6,14,92.0%,36.0,23,22.4,4
Chattanooga,Southern,7-4,13.3,15,91.6%,36.1,22,22.8,7
Richmond,CAA,9-4,13.0,16,91.1%,37.3,19,24.3,24
Mercer,Southern,7-4,13.0,17,91.1%,37.5,17,24.5,27
Furman,Southern,9-3,12.6,18,90.4%,35.6,24,23.0,9
Jackson State,SWAC,12-1,12.2,19,89.7%,40.6,6,28.4,87
Holy Cross,Patriot,12-1,10.9,20,86.9%,38.8,13,27.9,84
Yale,Ivy League,8-2,10.5,21,86.1%,39.7,11,29.2,99
Elon,CAA,8-4,10.4,22,85.8%,34.9,25,24.5,25
Austin Peay,A-Sun,7-4,10.2,23,85.3%,34.2,28,24.1,20
Northern Iowa,MVC,6-5,10.0,24,85.0%,33.1,32,23.0,10
Harvard,Ivy League,6-4,9.3,25,83.1%,33.9,29,24.6,33
Southern Illinois,MVC,5-6,9.0,26,82.4%,34.8,26,25.8,50
Sam Houston,WAC,5-4,8.8,27,81.7%,37.3,18,28.6,91
SE Missouri State,OVC,9-3,8.3,28,80.4%,34.6,27,26.3,59
Youngstown State,MVC,7-4,8.0,29,79.4%,33.3,30,25.3,43
Rhode Island,CAA,7-4,7.9,30,79.3%,32.7,33,24.7,34
Southeastern Louisiana,Southland,9-4,7.5,31,78.0%,37.8,15,30.3,109
Illinois State,MVC,6-5,7.4,32,77.5%,31.9,35,24.5,28
Dartmouth,Ivy League,3-7,6.9,33,75.9%,33.2,31,26.3,60
Villanova,CAA,6-5,6.7,34,75.3%,31.2,38,24.5,29
North Dakota,MVC,7-5,6.4,35,74.3%,29.3,48,23.0,8
New Hampshire,CAA,9-4,6.3,36,74.0%,29.9,45,23.6,14
UT Martin,OVC,7-4,6.1,37,73.2%,32.5,34,26.4,62
Columbia,Ivy League,6-4,6.0,38,73.1%,31.7,36,25.7,48
Gardner-Webb,Big South,6-6,6.0,39,73.0%,30.5,39,24.5,26
Central Arkansas,A-Sun,5-6,5.8,40,72.5%,31.5,37,25.6,47
Eastern Kentucky,A-Sun,7-5,5.8,41,72.3%,30.5,40,24.7,35
Fordham,Patriot,9-3,5.6,42,71.6%,36.6,21,31.0,115
Penn,Ivy League,8-2,5.1,43,70.0%,29.7,46,24.5,30
Missouri State,MVC,5-6,4.5,44,67.8%,29.9,43,25.4,44
Monmouth,CAA,5-6,4.3,45,66.7%,29.9,44,25.6,46
Campbell,Big South,5-6,3.5,46,63.8%,29.6,47,26.1,54
South Dakota,MVC,3-8,2.9,47,61.6%,26.3,55,23.3,12
Saint Francis-PA,NEC,9-3,2.6,48,60.0%,30.0,42,27.4,75
Western Carolina,Southern,6-5,2.5,49,59.7%,29.1,49,26.6,65
Kennesaw State,A-Sun,5-6,1.6,50,56.3%,25.0,64,23.4,13
Abilene Christian,WAC,6-4,1.6,51,56.2%,25.3,63,23.7,17
Stephen F. Austin,WAC,5-5,1.5,52,55.8%,26.4,54,24.9,37
NC Central,MEAC,8-2,1.2,53,54.3%,27.2,52,26.0,52
Wofford,Southern,3-8,0.9,54,53.1%,25.9,57,25.0,40
Florida A&M,SWAC,8-2,0.9,55,53.1%,30.0,41,29.2,97
Northern Arizona,Big Sky,3-8,0.7,56,52.6%,25.5,61,24.8,36
Albany-NY,CAA,3-8,0.7,57,52.5%,24.4,69,23.7,15
Eastern Washington,Big Sky,3-8,0.6,58,52.1%,24.9,66,24.3,22
ETSU,Southern,2-8,0.4,59,50.9%,28.0,50,27.6,78
Towson,CAA,6-5,0.3,60,50.6%,25.8,58,25.5,45
Prairie View A&M,SWAC,6-5,0.1,61,49.8%,27.4,51,27.3,72
NC A&T,Big South,6-4,-0.7,62,46.7%,25.6,60,26.2,57
Tennessee State,OVC,4-6,-1.7,63,42.5%,25.8,59,27.5,76
Indiana State,MVC,2-9,-2.2,64,40.5%,24.3,70,26.5,63
Maine,CAA,2-9,-2.3,65,40.0%,23.0,76,25.3,42
Lafayette,Patriot,4-7,-2.4,66,39.8%,24.8,67,27.2,70
St. Thomas,Pioneer,8-1,-2.7,67,38.2%,25.0,65,27.7,80
Portland State,Big Sky,3-7,-2.9,68,37.5%,23.3,75,26.3,58
Alcorn State,SWAC,5-6,-3.3,69,36.1%,24.5,68,27.8,81
Tarleton State,WAC,4-5,-4.0,70,33.4%,22.7,80,26.7,66
Southern Utah,WAC,4-6,-4.1,71,33.0%,24.0,72,28.1,86
Bryant,Big South,3-7,-4.7,72,30.6%,21.4,87,26.1,55
Sacred Heart,NEC,5-6,-4.7,73,30.5%,22.3,82,27.0,68
Grambling,SWAC,4-7,-5.1,74,29.2%,22.8,78,28.0,85
Stony Brook,CAA,2-9,-5.5,75,27.9%,18.2,105,23.7,16
The Citadel,Southern,3-7,-5.5,76,27.8%,23.0,77,28.5,89
Northwestern State,Southland,4-7,-5.8,77,26.7%,23.4,74,29.8,104
Northern Colorado,Big Sky,3-8,-6.0,78,26.1%,17.1,114,23.1,11
Idaho State,Big Sky,1-10,-6.1,79,25.9%,17.8,110,23.9,18
Cornell,Ivy League,5-5,-6.3,80,25.3%,19.0,93,25.2,41
Brown,Ivy League,3-7,-6.5,81,24.6%,26.4,53,32.9,121
Cal Poly,Big Sky,2-9,-6.8,82,23.6%,17.9,108,24.6,32
Western Illinois,MVC,0-11,-7.5,83,21.4%,18.8,100,26.2,56
Eastern Illinois,OVC,2-9,-7.7,84,20.6%,18.9,96,26.6,64
Southern U.,SWAC,4-6,-7.9,85,20.0%,24.2,71,32.2,119
Alabama A&M,SWAC,4-7,-8.0,86,19.9%,22.0,83,29.9,106
Howard,MEAC,4-6,-8.0,87,19.8%,21.5,86,29.5,102
Nicholls State,Southland,3-8,-8.2,88,19.2%,19.5,91,27.7,79
Tennessee Tech,OVC,4-7,-8.3,89,19.1%,17.8,109,26.1,53
Charleston Southern,Big South,2-8,-8.3,90,19.0%,19.1,92,27.4,73
Dayton,Pioneer,7-3,-8.4,91,18.5%,25.5,62,33.9,124
Davidson,Pioneer,6-4,-8.7,92,17.8%,26.1,56,34.8,126
Texas A&M-Commerce,Southland,3-6,-8.9,93,17.3%,18.1,106,27.0,67
Alabama State,SWAC,5-5,-9.2,94,16.6%,22.8,79,31.9,118
Valparaiso,Pioneer,4-7,-9.3,95,16.3%,21.0,88,30.3,108
VMI,Southern,1-10,-9.3,96,16.3%,15.3,122,24.6,31
Hampton,CAA,3-7,-9.3,97,16.1%,21.8,84,31.2,117
Colgate,Patriot,3-8,-9.5,98,15.7%,17.6,111,27.1,69
McNeese State,Southland,3-7,-9.6,99,15.6%,18.9,95,28.5,88
Murray State,OVC,2-9,-9.7,100,15.1%,15.1,123,24.9,38
Norfolk State,MEAC,2-9,-9.8,101,15.0%,18.8,99,28.6,92
Duquesne,NEC,3-7,-9.8,102,15.0%,23.5,73,33.3,122
SC State,MEAC,2-8,-10.1,103,14.3%,18.8,97,28.9,95
Bucknell,Patriot,3-8,-10.2,104,14.0%,18.7,101,28.9,94
Merrimack,NEC,7-3,-10.2,105,14.0%,20.8,89,31.0,114
Utah Tech,WAC,3-7,-10.2,106,14.0%,17.6,112,27.8,82
Morgan State,MEAC,3-7,-10.4,107,13.6%,18.3,103,28.7,93
Central Connecticut,NEC,2-9,-10.5,108,13.5%,18.8,98,29.3,100
North Alabama,A-Sun,0-10,-10.6,109,13.1%,19.9,90,30.6,113
Lehigh,Patriot,2-9,-10.8,110,12.8%,17.1,115,27.9,83
Texas Southern,SWAC,4-6,-10.9,111,12.5%,22.7,81,33.5,123
San Diego,Pioneer,4-5,-11.1,112,12.1%,18.5,102,29.6,103
Georgetown,Patriot,2-9,-11.5,113,11.2%,15.7,120,27.2,71
Long Island,NEC,4-7,-11.9,114,10.5%,18.3,104,30.1,107
Marist,Pioneer,4-7,-11.9,115,10.5%,17.5,113,29.3,101
Bethune-Cookman,SWAC,2-9,-12.2,116,9.8%,17.0,116,29.2,98
Robert Morris,Big South,0-11,-12.3,117,9.7%,14.1,125,26.4,61
Houston Baptist,Southland,2-9,-12.4,118,9.5%,16.1,119,28.5,90
Butler,Pioneer,5-4,-13.1,119,8.3%,21.8,85,34.9,127
MVSU,SWAC,2-8,-13.6,120,7.5%,16.7,118,30.3,110
Lindenwood,OVC,4-3,-13.8,121,7.3%,18.9,94,32.7,120
Delaware State,MEAC,3-6,-14.3,122,6.6%,14.7,124,29.0,96
Wagner,NEC,1-10,-14.9,123,5.8%,15.6,121,30.5,112
Lamar,Southland,1-10,-15.2,124,5.5%,12.4,126,27.6,77
Stonehill,NEC,2-5,-18.7,125,2.5%,12.4,127,31.1,116
Stetson,Pioneer,2-6,-19.0,126,2.3%,18.0,107,37.0,130
Drake,Pioneer,3-7,-19.0,127,2.3%,10.9,129,29.9,105
UAPB,SWAC,1-8,-19.6,128,1.9%,16.7,117,36.4,128
Morehead State,Pioneer,1-9,-22.5,129,0.9%,12.0,128,34.5,125
Presbyterian,Pioneer,0-10,-27.0,130,0.2%,10.0,130,37.0,129