Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
29-Oct,7:00 PM,New Mexico State at Florida International,Florida International,6.1,65%,29-23,Florida International -7.5,New Mexico State,1.4,45.5,Over,6.7
29-Oct,7:30 PM,UL-Lafayette at Texas State,UL-Lafayette,0.3,51%,32-31,Texas State -3,UL-Lafayette,3.3,59.5,Over,3.2
29-Oct,8:00 PM,Louisiana Tech at Sam Houston,Sam Houston,6.8,66%,27-20,Sam Houston -10,Louisiana Tech,3.2,46.5,Over,0.7
30-Oct,7:00 PM,Jacksonville State at Liberty,Liberty,8.6,71%,34-26,Liberty -1,Liberty,7.6,63.5,Under,-3.4
30-Oct,7:30 PM,Kennesaw State at Western Kentucky,Western Kentucky,28.4,96%,39-10,Western Kentucky -24,Western Kentucky,4.4,50.5,Under,-1.6
31-Oct,7:30 PM,Tulane at Charlotte,Tulane,19.0,88%,39-20,Tulane -16,Tulane,3.0,55.5,Over,3.2
1-Nov,7:00 PM,Georgia State at Connecticut,Connecticut,15.2,83%,33-18,Connecticut -7,Connecticut,8.2,48.5,Over,2.9
1-Nov,7:30 PM,USF at Florida Atlantic,Florida Atlantic,0.6,52%,28-27,USF -2,Florida Atlantic,2.6,53.5,Over,1.3
1-Nov,8:00 PM,San Diego State at Boise State,Boise State,21.5,91%,38-17,Boise State -24,San Diego State,2.5,57.5,Under,-2.5
2-Nov,12:00 PM,Air Force at Army,Army,30.2,97%,41-10,Army -24,Army,6.2,40.5,Over,10.4
2-Nov,12:00 PM,Buffalo at Akron,Buffalo,7.5,68%,28-21,Buffalo -1,Buffalo,6.5,47.5,Over,1.3
2-Nov,12:00 PM,Duke at Miami-FL,Miami-FL,18.5,88%,36-18,Miami-FL -20.5,Duke,2.0,54.5,Under,-0.7
2-Nov,12:00 PM,Memphis at UTSA,Memphis,9.5,73%,35-25,Memphis -8.5,Memphis,1.0,60.5,Under,-0.4
2-Nov,12:00 PM,Minnesota at Illinois,Minnesota,3.2,58%,24-21,Minnesota -1.5,Minnesota,1.7,45.5,Over,0.1
2-Nov,12:00 PM,Northwestern at Purdue,Northwestern,3.0,58%,25-22,Northwestern -1.5,Northwestern,1.5,46.5,Over,0.8
2-Nov,12:00 PM,Ohio State at Penn State,Ohio State,1.5,54%,25-24,Ohio State -4,Penn State,2.5,47.5,Over,1.6
2-Nov,12:00 PM,Ole Miss at Arkansas,Ole Miss,14.4,82%,34-19,Ole Miss -6,Ole Miss,8.4,55.5,Under,-2.4
2-Nov,12:00 PM,Stanford at NC State,NC State,15.8,84%,35-19,NC State -10,NC State,5.8,47.5,Over,6.2
2-Nov,12:00 PM,Toledo at Eastern Michigan,Toledo,8.0,69%,29-21,Toledo -8,Eastern Michigan,0.0,52.5,Under,-1.9
2-Nov,12:00 PM,Virginia Tech at Syracuse,Virginia Tech,6.8,67%,31-24,Virginia Tech -4,Virginia Tech,2.8,53.5,Over,1.6
2-Nov,12:45 PM,Vanderbilt at Auburn,Auburn,10.9,75%,32-21,Auburn -6.5,Auburn,4.4,48.5,Over,4.4
2-Nov,2:30 PM,Maine at Oklahoma,Oklahoma,39.5,99%,42-2,,,,,,
2-Nov,2:30 PM,Old Dominion at Appalachian State,Appalachian State,0.1,50%,29-29,Old Dominion -2.5,Appalachian State,2.6,60.5,Under,-2.8
2-Nov,2:30 PM,Tulsa at UAB,UAB,2.2,55%,32-30,UAB -3.5,Tulsa,1.3,57.5,Over,3.7
2-Nov,3:30 PM,Arizona at UCF,UCF,6.5,66%,31-25,UCF -6,UCF,0.5,54.5,Over,1.4
2-Nov,3:30 PM,Florida vs. Georgia,Georgia,12.5,78%,34-22,Georgia -16.5,Florida,4.0,52.5,Over,3.6
2-Nov,3:30 PM,Indiana at Michigan State,Indiana,16.8,85%,32-15,Indiana -7,Indiana,9.8,50.5,Under,-3.2
2-Nov,3:30 PM,Kansas State at Houston,Kansas State,19.4,89%,35-16,Kansas State -13,Kansas State,6.4,46.5,Over,4.8
2-Nov,3:30 PM,Middle Tennessee at UTEP,UTEP,3.6,59%,27-23,UTEP -3,UTEP,0.6,51.5,Under,-1.8
2-Nov,3:30 PM,North Carolina at Florida State,North Carolina,5.1,63%,28-23,North Carolina -2,North Carolina,3.1,50.5,Over,0.8
2-Nov,3:30 PM,Oregon at Michigan,Oregon,12.5,78%,32-19,Oregon -14.5,Michigan,2.0,45.5,Over,5.1
2-Nov,3:30 PM,Texas Tech at Iowa State,Iowa State,13.7,81%,35-21,Iowa State -15.5,Texas Tech,1.8,57.5,Under,-2.0
2-Nov,3:30 PM,UCLA at Nebraska,Nebraska,14.6,82%,29-14,Nebraska -7,Nebraska,7.6,41.5,Over,1.7
2-Nov,3:30 PM,UL-Monroe at Marshall,Marshall,10.7,75%,31-20,Marshall -10.5,Marshall,0.2,47.5,Over,3.8
2-Nov,4:00 PM,Coastal Carolina at Troy,Coastal Carolina,3.1,58%,30-27,Coastal Carolina -4.5,Troy,1.4,52.5,Over,3.7
2-Nov,4:00 PM,Navy at Rice,Navy,12.3,78%,33-21,Navy -12.5,Rice,0.2,51.5,Over,3.0
2-Nov,4:00 PM,Wyoming at New Mexico,New Mexico,2.2,55%,29-27,New Mexico -6.5,Wyoming,4.3,60.5,Under,-3.7
2-Nov,4:15 PM,Massachusetts at Mississippi State,Mississippi State,16.9,86%,37-20,Mississippi State -18.5,Massachusetts,1.6,58.5,Under,-1.7
2-Nov,7:00 PM,Arizona State at Oklahoma State,Oklahoma State,1.7,54%,29-27,Arizona State -1.5,Oklahoma State,3.2,57.5,Under,-1.1
2-Nov,7:00 PM,Hawaii at Fresno State,Fresno State,9.8,73%,31-21,Fresno State -13,Hawaii,3.2,48.5,Over,3.7
2-Nov,7:30 PM,Georgia Southern at South Alabama,South Alabama,9.2,72%,34-24,South Alabama -6,South Alabama,3.2,61.5,Under,-3.5
2-Nov,7:30 PM,Louisville at Clemson,Clemson,7.9,69%,33-25,Clemson -11.5,Louisville,3.6,61.5,Under,-3.8
2-Nov,7:30 PM,Texas A&M at South Carolina,Texas A&M,6.2,65%,28-22,Texas A&M -3.5,Texas A&M,2.7,46.5,Over,2.8
2-Nov,7:30 PM,USC at Washington,USC,1.3,53%,29-28,USC -2.5,Washington,1.2,55.5,Over,1.5
2-Nov,7:30 PM,Wisconsin at Iowa,Iowa,6.3,65%,23-17,Iowa -3.5,Iowa,2.8,42.5,Under,-1.8
2-Nov,7:45 PM,Kentucky at Tennessee,Tennessee,16.8,85%,32-15,Tennessee -16,Tennessee,0.8,45.5,Over,0.9
2-Nov,8:00 PM,Colorado State at Nevada,Colorado State,2.8,57%,29-26,Colorado State -1,Colorado State,1.8,44.5,Over,10.2
2-Nov,8:00 PM,Pittsburgh at SMU,SMU,4.9,62%,30-25,SMU -7.5,Pittsburgh,2.6,59.5,Under,-3.9
2-Nov,8:00 PM,TCU at Baylor,TCU,0.3,51%,29-29,Baylor -3,TCU,3.3,64.5,Under,-7.0