Game,Proj_winner,Proj_margin,Win_prob,WP_pct
Saint Francis-PA at Akron,Akron,14.8,80,0.8
Ball State at Tennessee,Tennessee,31.1,96,0.96
Bryant at Florida International,Florida International,6.8,65,0.65
Central Michigan at Oklahoma State,Oklahoma State,21.5,89,0.89
Long Island at Toledo,Toledo,53.2,100,1
SC State at UCF,UCF,39.7,99,0.99
West Virginia at Pittsburgh,Pittsburgh,13.6,78,0.78
VMI at Wake Forest,Wake Forest,35.1,98,0.98
Alabama A&M at UAB,UAB,39.6,99,0.99
Eastern Illinois at Northern Illinois,Northern Illinois,39,99,0.99
Louisiana Tech at Missouri,Missouri,21.3,89,0.89
Penn State at Purdue,Penn State,4,59,0.59
New Mexico State at Minnesota,Minnesota,42.3,99,0.99
Northern Arizona at Arizona State,Arizona State,31.4,97,0.97
Cal Poly at Fresno State,Fresno State,47.2,100,1
Portland State at San Jose State,San Jose State,17.3,84,0.84
Eastern Kentucky at Eastern Michigan,Eastern Michigan,12.8,77,0.77
Virginia Tech at Old Dominion,Virginia Tech,7.6,67,0.67
Western Michigan at Michigan State,Michigan State,26.3,94,0.94
William & Mary at Charlotte,Charlotte,9,70,0.7
Temple at Duke,Duke,5.9,63,0.63
Illinois at Indiana,Illinois,0.6,51,0.51
Tennessee Tech at Kansas,Kansas,32.9,97,0.97
TCU at Colorado,TCU,13.1,77,0.77
Buffalo at Maryland,Maryland,17.7,85,0.85
Central Connecticut at Connecticut,Connecticut,14.7,80,0.8
Colorado State at Michigan,Michigan,31.5,97,0.97
Delaware at Navy,Navy,10.4,73,0.73
NC State at East Carolina,NC State,13.5,78,0.78
North Carolina at Appalachian State,North Carolina,3,57,0.57
Rutgers at Boston College,Boston College,5.4,62,0.62
Sam Houston at Texas A&M,Texas A&M,31.3,96,0.96
South Dakota State at Iowa,Iowa,22.7,91,0.91
Richmond at Virginia,Virginia,20,88,0.88
Northern Iowa at Air Force,Air Force,16.8,83,0.83
SE Missouri State at Iowa State,Iowa State,34,98,0.98
Bowling Green at UCLA,UCLA,25,93,0.93
Arizona at San Diego State,San Diego State,16.3,83,0.83
Bethune-Cookman at Miami-FL,Miami-FL,55.8,100,1
Cincinnati at Arkansas,Arkansas,2.8,56,0.56
Houston at UTSA,Houston,2.1,55,0.55
Norfolk State at Marshall,Marshall,40.2,99,0.99
North Dakota at Nebraska,Nebraska,23,91,0.91
Oregon vs. Georgia,Georgia,16.2,83,0.83
Tulsa at Wyoming,Tulsa,5.3,62,0.62
UTEP at Oklahoma,Oklahoma,34.8,98,0.98
BYU at USF,BYU,17.1,84,0.84
Troy at Ole Miss,Ole Miss,27.4,94,0.94
UC Davis at California,California,15.2,81,0.81
Nicholls State at South Alabama,South Alabama,7.9,68,0.68
Texas State at Nevada,Nevada,8.1,68,0.68
Florida Atlantic at Ohio,Florida Atlantic,2,55,0.55
Middle Tennessee at James Madison,James Madison,3.6,58,0.58
Morgan State at Georgia Southern,Georgia Southern,35,98,0.98
Rice at USC,USC,26.4,94,0.94
Albany-NY at Baylor,Baylor,44.9,100,1
Army at Coastal Carolina,Coastal Carolina,2.8,56,0.56
Elon at Vanderbilt,Vanderbilt,12.2,76,0.76
Grambling at Arkansas State,Arkansas State,25.5,93,0.93
Illinois State at Wisconsin,Wisconsin,37.1,98,0.98
Liberty at Southern Miss,Liberty,5.5,62,0.62
Massachusetts at Tulane,Tulane,25,93,0.93
Mercer at Auburn,Auburn,34.6,98,0.98
Miami-OH at Kentucky,Kentucky,23.7,91,0.91
South Dakota at Kansas State,Kansas State,24.3,92,0.92
Southeastern Louisiana at UL-Lafayette,UL-Lafayette,16.3,83,0.83
Utah at Florida,Utah,0.2,50,0.5
Georgia State at South Carolina,South Carolina,13.4,78,0.78
Memphis at Mississippi State,Mississippi State,15.3,81,0.81
Notre Dame at Ohio State,Ohio State,11.3,74,0.74
SMU at North Texas,SMU,11,74,0.74
Utah State at Alabama,Alabama,36.6,98,0.98
Colgate at Stanford,Stanford,36.5,98,0.98
Louisville at Syracuse,Louisville,5,61,0.61
Maine at New Mexico,New Mexico,3.3,58,0.58
Murray State at Texas Tech,Texas Tech,37.8,99,0.99
UL-Monroe at Texas,Texas,38.2,99,0.99
Idaho at Washington State,Washington State,27.5,94,0.94
Boise State at Oregon State,Boise State,3.6,58,0.58
Kent State at Washington,Washington,17.2,84,0.84
Western Kentucky at Hawaii,Western Kentucky,18.9,86,0.86
Florida State vs. LSU,LSU,4.6,60,0.6
Clemson at Georgia Tech,Clemson,24.5,92,0.92
Louisville at UCF,UCF,10.9,74,0.74
Boise State at New Mexico,Boise State,18.4,86,0.86
Alabama at Texas,Alabama,18.9,86,0.86
Arkansas State at Ohio State,Ohio State,44.4,99,0.99
Duke at Northwestern,Northwestern,10.2,72,0.72
Missouri at Kansas State,Kansas State,8.2,68,0.68
North Carolina at Georgia State,North Carolina,11.8,75,0.75
Ohio at Penn State,Penn State,27.6,94,0.94
South Carolina at Arkansas,Arkansas,8.5,69,0.69
Southern Miss at Miami-FL,Miami-FL,27.8,95,0.95
UTSA at Army,UTSA,8,68,0.68
Wake Forest at Vanderbilt,Wake Forest,15.3,81,0.81
Western Illinois at Minnesota,Minnesota,40.8,99,0.99
Charleston Southern at NC State,NC State,42.8,99,0.99
South Alabama at Central Michigan,Central Michigan,4.7,61,0.61
Southern Utah at Utah,Utah,55.3,100,1
Lafayette at Temple,Temple,16.4,83,0.83
Western Michigan at Ball State,Western Michigan,6.7,65,0.65
Marshall at Notre Dame,Notre Dame,16.4,83,0.83
Appalachian State at Texas A&M,Texas A&M,21.5,89,0.89
Colorado at Air Force,Air Force,22.3,90,0.9
Furman at Clemson,Clemson,45.2,100,1
Kennesaw State at Cincinnati,Cincinnati,26,93,0.93
Maryland at Charlotte,Maryland,20.9,89,0.89
Memphis at Navy,Memphis,5,61,0.61
Tennessee at Pittsburgh,Tennessee,7.1,66,0.66
Washington State at Wisconsin,Wisconsin,24,92,0.92
Akron at Michigan State,Michigan State,41.5,99,0.99
Eastern Kentucky at Bowling Green,Bowling Green,5.7,63,0.63
Houston at Texas Tech,Texas Tech,4.9,61,0.61
Indiana State at Purdue,Purdue,36.4,98,0.98
Iowa State at Iowa,Iowa,2.7,56,0.56
Middle Tennessee at Colorado State,Colorado State,3.5,58,0.58
Norfolk State at James Madison,James Madison,36.5,98,0.98
Northern Colorado at Wyoming,Wyoming,22.8,91,0.91
Portland State at Washington,Washington,31.8,97,0.97
Samford at Georgia,Georgia,59.5,100,1
UNLV at California,California,12.7,77,0.77
Virginia at Illinois,Virginia,1.8,54,0.54
Wagner at Rutgers,Rutgers,49.8,100,1
Alabama State at UCLA,UCLA,54.2,100,1
Incarnate Word at Nevada,Nevada,4.5,60,0.6
Gardner-Webb at Coastal Carolina,Coastal Carolina,38,99,0.99
Holy Cross at Buffalo,Buffalo,3.4,58,0.58
Kansas at West Virginia,West Virginia,12,76,0.76
Old Dominion at East Carolina,East Carolina,9.7,71,0.71
Robert Morris at Miami-OH,Miami-OH,36.5,98,0.98
Southeastern Louisiana at Florida Atlantic,Florida Atlantic,9.4,71,0.71
UAB at Liberty,UAB,9.9,72,0.72
Alabama A&M at Troy,Troy,29.2,95,0.95
Alcorn State at Tulane,Tulane,34.7,98,0.98
Central Arkansas at Ole Miss,Ole Miss,42.1,99,0.99
Eastern Michigan at UL-Lafayette,UL-Lafayette,15.4,81,0.81
Florida International at Texas State,Texas State,7.7,67,0.67
Howard at USF,USF,35.9,98,0.98
Kent State at Oklahoma,Oklahoma,41.2,99,0.99
Kentucky at Florida,Florida,0.4,51,0.51
Lamar at SMU,SMU,60.9,100,1
Massachusetts at Toledo,Toledo,35.3,98,0.98
Northern Illinois at Tulsa,Tulsa,2.8,56,0.56
Stephen F. Austin at Louisiana Tech,Louisiana Tech,0.4,51,0.51
Syracuse at Connecticut,Syracuse,24.9,92,0.92
Weber State at Utah State,Utah State,8.2,68,0.68
Western Carolina at Georgia Tech,Georgia Tech,21.9,90,0.9
Arizona State at Oklahoma State,Oklahoma State,5.8,63,0.63
Georgia Southern at Nebraska,Nebraska,20.9,89,0.89
McNeese State at Rice,Rice,5.9,63,0.63
San Jose State at Auburn,Auburn,28.2,95,0.95
Southern U. at LSU,LSU,52.3,100,1
Texas Southern at North Texas,North Texas,37.3,98,0.98
USC at Stanford,USC,9.4,71,0.71
Boston College at Virginia Tech,Virginia Tech,4.6,60,0.6
Hawaii at Michigan,Michigan,54.6,100,1
Idaho at Indiana,Indiana,23.7,91,0.91
Idaho State at San Diego State,San Diego State,34.5,98,0.98
Nicholls State at UL-Monroe,Nicholls State,5.2,62,0.62
Tarleton State at TCU,TCU,44.6,100,1
Eastern Washington at Oregon,Oregon,20.5,88,0.88
New Mexico State at UTEP,UTEP,16.3,83,0.83
Baylor at BYU,BYU,1.5,53,0.53
Oregon State at Fresno State,Fresno State,4.5,60,0.6
Mississippi State at Arizona,Mississippi State,22.3,90,0.9
Florida State at Louisville,Florida State,3.3,58,0.58
Air Force at Wyoming,Air Force,18.8,86,0.86
Wofford at Virginia Tech,Virginia Tech,31.7,97,0.97
Abilene Christian at Missouri,Missouri,29.3,96,0.96
Cincinnati vs. Miami-OH,Cincinnati,25,93,0.93
Connecticut at Michigan,Michigan,50.8,100,1
Georgia at South Carolina,Georgia,24.7,92,0.92
Long Island at Kent State,Kent State,29.1,95,0.95
Oklahoma at Nebraska,Oklahoma,13.9,79,0.79
Purdue at Syracuse,Purdue,5.2,62,0.62
Southern Illinois at Northwestern,Northwestern,8.5,69,0.69
Texas State at Baylor,Baylor,37.1,98,0.98
Villanova at Army,Army,4.4,60,0.6
Western Kentucky at Indiana,Western Kentucky,3.4,58,0.58
Youngstown State at Kentucky,Kentucky,31.7,97,0.97
Bucknell at Central Michigan,Central Michigan,34.9,98,0.98
Buffalo at Coastal Carolina,Coastal Carolina,12.8,77,0.77
Towson at West Virginia,West Virginia,23.3,91,0.91
Murray State at Ball State,Ball State,12.6,77,0.77
Ohio at Iowa State,Iowa State,24.8,92,0.92
Old Dominion at Virginia,Virginia,10,72,0.72
Rutgers at Temple,Rutgers,20.4,88,0.88
South Alabama at UCLA,UCLA,20.5,88,0.88
California at Notre Dame,Notre Dame,19.9,87,0.87
North Texas at UNLV,North Texas,1.2,53,0.53
Tulane at Kansas State,Kansas State,14.4,80,0.8
BYU at Oregon,Oregon,1.2,53,0.53
Colorado at Minnesota,Minnesota,31.2,96,0.96
Georgia Southern at UAB,UAB,18,85,0.85
New Mexico State at Wisconsin,Wisconsin,46.9,100,1
Ole Miss at Georgia Tech,Ole Miss,27.5,94,0.94
Penn State at Auburn,Penn State,1.5,53,0.53
Stony Brook at Massachusetts,Stony Brook,5.5,62,0.62
Troy at Appalachian State,Appalachian State,12.8,77,0.77
Vanderbilt at Northern Illinois,Northern Illinois,3.4,58,0.58
Kansas at Houston,Houston,15.8,82,0.82
UL-Monroe at Alabama,Alabama,56,100,1
UT Martin at Boise State,Boise State,21.3,89,0.89
Colorado State at Washington State,Washington State,17.4,84,0.84
Liberty at Wake Forest,Wake Forest,14.8,80,0.8
Marshall at Bowling Green,Marshall,18.2,85,0.85
Campbell at East Carolina,East Carolina,30.4,96,0.96
Mississippi State at LSU,LSU,0.6,51,0.51
NC A&T at Duke,Duke,20.2,88,0.88
Akron at Tennessee,Tennessee,47.8,100,1
Arkansas State at Memphis,Memphis,18.4,86,0.86
Charlotte at Georgia State,Georgia State,14.7,80,0.8
Jacksonville State at Tulsa,Tulsa,0.4,51,0.51
Missouri State at Arkansas,Arkansas,25.8,93,0.93
Northwestern State at Southern Miss,Southern Miss,27.3,94,0.94
Tennessee State at Middle Tennessee,Middle Tennessee,17.4,84,0.84
Texas Tech at NC State,NC State,8.7,69,0.69
Toledo at Ohio State,Ohio State,26.9,94,0.94
UAPB at Oklahoma State,Oklahoma State,65.1,100,1
Maine at Boston College,Boston College,19.9,88,0.88
Michigan State at Washington,Michigan State,7.4,67,0.67
Nevada at Iowa,Iowa,24.6,92,0.92
Pittsburgh at Western Michigan,Pittsburgh,18.9,86,0.86
SMU at Maryland,SMU,1.3,53,0.53
UCF at Florida Atlantic,UCF,10.9,74,0.74
UL-Lafayette at Rice,UL-Lafayette,18.6,86,0.86
USF at Florida,Florida,23.7,91,0.91
Louisiana Tech at Clemson,Clemson,34.8,98,0.98
Montana State at Oregon State,Oregon State,12.5,77,0.77
UTEP at New Mexico,UTEP,0.8,52,0.52
UTSA at Texas,Texas,15.1,81,0.81
Miami-FL at Texas A&M,Texas A&M,6.2,64,0.64
San Diego State at Utah,Utah,22,90,0.9
Fresno State at USC,USC,7.3,66,0.66
Eastern Michigan at Arizona State,Arizona State,21,89,0.89
North Dakota State at Arizona,North Dakota State,5.2,62,0.62
Duquesne at Hawaii,Hawaii,3.5,58,0.58
Coastal Carolina at Georgia State,Coastal Carolina,5.7,63,0.63
West Virginia at Virginia Tech,Virginia Tech,1.6,54,0.54
Chattanooga at Illinois,Illinois,12.5,77,0.77
Virginia at Syracuse,Syracuse,9.2,70,0.7
Nevada at Air Force,Air Force,22.2,90,0.9
Boise State at UTEP,Boise State,20.3,88,0.88
Baylor at Iowa State,Baylor,1.6,54,0.54
Bowling Green at Mississippi State,Mississippi State,32.6,97,0.97
Buffalo at Eastern Michigan,Eastern Michigan,7.2,66,0.66
Central Michigan at Penn State,Penn State,27,94,0.94
Clemson at Wake Forest,Clemson,10.2,72,0.72
Duke at Kansas,Kansas,7.3,66,0.66
Kent State at Georgia,Georgia,47.9,100,1
Maryland at Michigan,Michigan,18.5,86,0.86
Missouri at Auburn,Auburn,9.6,71,0.71
Rhode Island at Pittsburgh,Pittsburgh,28.8,95,0.95
TCU at SMU,SMU,3,57,0.57
USF at Louisville,Louisville,16.1,82,0.82
Fordham at Ohio,Ohio,7.9,68,0.68
Massachusetts at Temple,Temple,12.6,77,0.77
UCLA at Colorado,UCLA,24.2,92,0.92
Florida at Tennessee,Tennessee,12.4,76,0.76
Florida International at Western Kentucky,Western Kentucky,36.5,98,0.98
Indiana at Cincinnati,Cincinnati,22.2,90,0.9
James Madison at Appalachian State,Appalachian State,8.4,69,0.69
Middle Tennessee at Miami-FL,Miami-FL,24.7,92,0.92
Minnesota at Michigan State,Michigan State,0.2,50,0.5
North Texas at Memphis,Memphis,12.4,76,0.76
Notre Dame at North Carolina,Notre Dame,5.7,63,0.63
Texas at Texas Tech,Texas,8.9,70,0.7
Texas Southern at UTSA,UTSA,41.3,99,0.99
Toledo at San Diego State,Toledo,3.6,58,0.58
Georgia Tech at UCF,UCF,22.4,90,0.9
Oregon at Washington State,Oregon,8.9,70,0.7
Sacramento State at Colorado State,Sacramento State,4.9,61,0.61
Tulsa at Ole Miss,Ole Miss,26.2,94,0.94
Arizona at California,California,11.5,75,0.75
Akron at Liberty,Liberty,29.9,96,0.96
Arkansas State at Old Dominion,Old Dominion,8.8,69,0.69
Ball State at Georgia Southern,Georgia Southern,5.1,62,0.62
Navy at East Carolina,East Carolina,20,88,0.88
Rice at Houston,Houston,20.1,88,0.88
Arkansas vs. Texas A&M,Texas A&M,3.4,58,0.58
Houston Baptist at Texas State,Texas State,18.9,86,0.86
Iowa at Rutgers,Iowa,10,72,0.72
Louisiana Tech at South Alabama,South Alabama,12.5,77,0.77
Marshall at Troy,Marshall,6.6,65,0.65
Northern Illinois at Kentucky,Kentucky,29.2,95,0.95
Southern Miss at Tulane,Tulane,13.2,78,0.78
UNLV at Utah State,Utah State,0,50,0.5
Charlotte at South Carolina,South Carolina,24.2,92,0.92
Connecticut at NC State,NC State,43,99,0.99
Florida Atlantic at Purdue,Purdue,18.7,86,0.86
Miami-OH at Northwestern,Northwestern,2.4,55,0.55
New Mexico at LSU,LSU,33.3,97,0.97
Vanderbilt at Alabama,Alabama,40.7,99,0.99
Wisconsin at Ohio State,Ohio State,15.3,81,0.81
Boston College at Florida State,Florida State,13.4,78,0.78
Hawaii at New Mexico State,Hawaii,0.2,50,0.5
Kansas State at Oklahoma,Oklahoma,16.1,82,0.82
UL-Lafayette at UL-Monroe,UL-Lafayette,21.7,89,0.89
USC at Oregon State,USC,3.8,59,0.59
Wyoming at BYU,BYU,22.4,90,0.9
Stanford at Washington,Washington,14.8,80,0.8
Utah at Arizona State,Utah,10.6,73,0.73
Western Michigan at San Jose State,San Jose State,4.6,60,0.6
Utah State at BYU,BYU,25.5,93,0.93
Tulane at Houston,Houston,0.5,51,0.51
UTSA at Middle Tennessee,UTSA,3.1,57,0.57
San Diego State at Boise State,Boise State,8.1,68,0.68
Washington at UCLA,UCLA,3.7,58,0.58
New Mexico at UNLV,UNLV,13.2,78,0.78
Eastern Washington at Florida,Florida,20.5,88,0.88
Georgia State at Army,Army,11.4,74,0.74
Illinois at Wisconsin,Wisconsin,7.9,68,0.68
Kentucky at Ole Miss,Ole Miss,6.6,65,0.65
Louisville at Boston College,Louisville,10.7,73,0.73
Michigan at Iowa,Michigan,10.2,72,0.72
Navy at Air Force,Air Force,19.9,87,0.87
Oklahoma at TCU,Oklahoma,10,72,0.72
Purdue at Minnesota,Minnesota,12.7,77,0.77
SC State at South Carolina,South Carolina,30.2,96,0.96
Temple at Memphis,Memphis,17.7,85,0.85
Texas Tech at Kansas State,Kansas State,9.7,71,0.71
Texas State at James Madison,James Madison,16.5,83,0.83
Massachusetts at Eastern Michigan,Eastern Michigan,19.2,87,0.87
Northern Illinois at Ball State,Northern Illinois,2.5,56,0.56
Oregon State at Utah,Utah,13.4,78,0.78
Alabama at Arkansas,Alabama,15.3,81,0.81
Bowling Green at Akron,Bowling Green,4.9,61,0.61
Central Michigan at Toledo,Toledo,9.2,70,0.7
Fresno State at Connecticut,Fresno State,22.8,91,0.91
Gardner-Webb at Marshall,Marshall,33.9,98,0.98
Iowa State at Kansas,Iowa State,4.3,60,0.6
Miami-OH at Buffalo,Miami-OH,1.7,54,0.54
Michigan State at Maryland,Maryland,4,59,0.59
Northwestern at Penn State,Penn State,30,96,0.96
Ohio at Kent State,Kent State,8.9,70,0.7
Oklahoma State at Baylor,Baylor,1.5,53,0.53
Rutgers at Ohio State,Ohio State,31.7,97,0.97
SMU at UCF,UCF,2.9,57,0.57
The Citadel at Appalachian State,Appalachian State,35.3,98,0.98
Virginia Tech at North Carolina,North Carolina,5.9,63,0.63
Wake Forest at Florida State,Florida State,5.4,62,0.62
Florida Atlantic at North Texas,Florida Atlantic,0.3,51,0.51
Georgia Southern at Coastal Carolina,Coastal Carolina,11.7,75,0.75
Texas A&M at Mississippi State,Mississippi State,3.9,59,0.59
South Alabama at UL-Lafayette,UL-Lafayette,0.2,50,0.5
Wagner at Syracuse,Syracuse,50,100,1
California at Washington State,Washington State,4.1,59,0.59
Liberty at Old Dominion,Liberty,4.8,61,0.61
New Hampshire at Western Michigan,Western Michigan,8.3,68,0.68
UTEP at Charlotte,UTEP,3.9,59,0.59
Cincinnati at Tulsa,Cincinnati,13.9,79,0.79
East Carolina at USF,East Carolina,12.5,76,0.76
LSU at Auburn,LSU,5.7,63,0.63
Troy at Western Kentucky,Western Kentucky,10.1,72,0.72
UL-Monroe at Arkansas State,Arkansas State,7.1,66,0.66
Georgia at Missouri,Georgia,22.5,90,0.9
Indiana at Nebraska,Nebraska,5.6,63,0.63
NC State at Clemson,Clemson,4.4,60,0.6
San Jose State at Wyoming,San Jose State,0.2,50,0.5
UAB at Rice,UAB,14.1,79,0.79
Virginia at Duke,Duke,0.1,50,0.5
West Virginia at Texas,Texas,12.2,76,0.76
Florida International at New Mexico State,New Mexico State,9.9,72,0.72
Georgia Tech at Pittsburgh,Pittsburgh,23.3,91,0.91
Colorado at Arizona,Arizona,9.6,71,0.71
Arizona State at USC,USC,14,79,0.79
Stanford at Oregon,Oregon,18.8,86,0.86
SMU at UCF,UCF,1.5,54,0.54
Nebraska at Rutgers,Nebraska,1.9,54,0.54
Houston at Memphis,Memphis,1.3,53,0.53
Colorado State at Nevada,Nevada,7.5,67,0.67
UNLV at San Jose State,San Jose State,3.7,58,0.58
Arkansas at Mississippi State,Mississippi State,8.2,68,0.68
Buffalo at Bowling Green,Bowling Green,0.3,51,0.51
Eastern Michigan at Western Michigan,Western Michigan,2.4,56,0.56
Louisville at Virginia,Louisville,2.8,56,0.56
Michigan at Indiana,Michigan,24.9,93,0.93
Missouri at Florida,Florida,4.8,61,0.61
Purdue at Maryland,Maryland,2.5,56,0.56
TCU at Kansas,TCU,7.3,66,0.66
Tennessee at LSU,Tennessee,1.9,54,0.54
Texas vs. Oklahoma,Texas,0.5,51,0.51
Akron at Ohio,Ohio,9.2,70,0.7
Georgia Southern at Georgia State,Georgia State,3.2,57,0.57
USF at Cincinnati,Cincinnati,30.2,96,0.96
Auburn at Georgia,Georgia,18.8,86,0.86
Ball State at Central Michigan,Central Michigan,6.3,64,0.64
East Carolina at Tulane,Tulane,5.3,62,0.62
Kent State at Miami-OH,Miami-OH,3.7,58,0.58
Liberty at Massachusetts,Liberty,25.9,93,0.93
Middle Tennessee at UAB,UAB,14.7,80,0.8
Texas Tech at Oklahoma State,Oklahoma State,12.1,76,0.76
Toledo at Northern Illinois,Toledo,7.7,67,0.67
Tulsa at Navy,Tulsa,9.7,71,0.71
Utah at UCLA,Utah,0.2,50,0.5
Virginia Tech at Pittsburgh,Pittsburgh,14.1,79,0.79
Wisconsin at Northwestern,Wisconsin,14.3,80,0.8
Duke at Georgia Tech,Duke,3.6,58,0.58
North Carolina at Miami-FL,Miami-FL,3.7,58,0.58
Ohio State at Michigan State,Ohio State,17.8,85,0.85
Ole Miss at Vanderbilt,Ole Miss,26,93,0.93
Washington at Arizona State,Washington,6.9,65,0.65
Western Kentucky at UTSA,UTSA,4,59,0.59
Air Force at Utah State,Air Force,10.2,72,0.72
Appalachian State at Texas State,Appalachian State,17.2,84,0.84
Connecticut at Florida International,Connecticut,1.9,54,0.54
James Madison at Arkansas State,James Madison,15.6,82,0.82
Southern Miss at Troy,Troy,4.7,61,0.61
UTEP at Louisiana Tech,UTEP,0.2,50,0.5
Wyoming at New Mexico,Wyoming,2.8,56,0.56
Army at Wake Forest,Wake Forest,14.7,80,0.8
BYU vs. Notre Dame,Notre Dame,2.8,56,0.56
Clemson at Boston College,Clemson,19.7,87,0.87
Iowa at Illinois,Iowa,1.8,54,0.54
Kansas State at Iowa State,Kansas State,1.6,54,0.54
South Carolina at Kentucky,Kentucky,11.9,75,0.75
Washington State at USC,USC,9.1,70,0.7
Coastal Carolina at UL-Monroe,Coastal Carolina,17.4,84,0.84
Florida State at NC State,NC State,5.2,62,0.62
Texas A&M at Alabama,Alabama,19.4,87,0.87
Oregon at Arizona,Oregon,22.7,90,0.9
Fresno State at Boise State,Boise State,3,57,0.57
Hawaii at San Diego State,San Diego State,21.3,89,0.89
Oregon State at Stanford,Oregon State,5.8,63,0.63
UL-Lafayette at Marshall,Marshall,4.7,61,0.61
Baylor at West Virginia,Baylor,5.7,63,0.63
Temple at UCF,UCF,24.3,92,0.92
Navy at SMU,SMU,17.1,84,0.84
UTSA at Florida International,UTSA,27.1,94,0.94
Auburn at Ole Miss,Ole Miss,17,84,0.84
Central Michigan at Akron,Central Michigan,12.7,77,0.77
Colgate at Army,Army,24.2,92,0.92
Iowa State at Texas,Texas,17.7,85,0.85
Kansas at Oklahoma,Oklahoma,9.4,71,0.71
Miami-OH at Bowling Green,Miami-OH,6.9,66,0.66
Minnesota at Illinois,Minnesota,4.7,61,0.61
Old Dominion at Coastal Carolina,Coastal Carolina,16.2,83,0.83
Penn State at Michigan,Michigan,12.2,76,0.76
Miami-FL at Virginia Tech,Miami-FL,8.5,69,0.69
Buffalo at Massachusetts,Buffalo,13.8,79,0.79
California at Colorado,California,11.9,75,0.75
Connecticut at Ball State,Ball State,7.6,67,0.67
Alabama at Tennessee,Alabama,5.5,62,0.62
Arkansas at BYU,Arkansas,0.8,52,0.52
Charlotte at UAB,UAB,27.9,95,0.95
Gardner-Webb at Liberty,Liberty,30.9,96,0.96
Kent State at Toledo,Toledo,16.8,83,0.83
Maryland at Indiana,Maryland,15.1,81,0.81
NC State at Syracuse,NC State,3.7,58,0.58
Northern Illinois at Eastern Michigan,Eastern Michigan,6.3,64,0.64
Ohio at Western Michigan,Western Michigan,2.9,57,0.57
Oklahoma State at TCU,Oklahoma State,0,50,0.5
Texas State at Troy,Troy,14,79,0.79
Vanderbilt at Georgia,Georgia,39,99,0.99
Western Kentucky at Middle Tennessee,Western Kentucky,9.1,70,0.7
James Madison at Georgia Southern,James Madison,9.9,72,0.72
Louisiana Tech at North Texas,North Texas,7.1,66,0.66
Tulane at USF,Tulane,16.5,83,0.83
Wisconsin at Michigan State,Wisconsin,5.5,63,0.63
Arizona at Washington,Washington,21.8,90,0.9
Rice at Florida Atlantic,Florida Atlantic,8.8,69,0.69
Arkansas State at Southern Miss,Southern Miss,6.9,66,0.66
LSU at Florida,LSU,0.3,51,0.51
UL-Monroe at South Alabama,South Alabama,17.4,84,0.84
Utah State at Colorado State,Utah State,8,68,0.68
Clemson at Florida State,Clemson,4.1,59,0.59
Memphis at East Carolina,East Carolina,2.3,55,0.55
Mississippi State at Kentucky,Kentucky,0.5,51,0.51
Nebraska at Purdue,Purdue,14.7,80,0.8
